cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.940064767177066,80.1481598486579,12.940805,80.1482816,Highway_unknown,highway,,83.36,8
1,13.082620771063809,80.21183769606327,13.0825495,80.2119159,Highway_unknown,highway,,11.6,8
2,13.12634784022321,79.92635294524777,13.13502,79.9281566,Highway_unknown,highway,,983.88,4
3,13.116918592790952,80.09716538535774,13.1171166,80.0971698,Highway_unknown,highway,,22.02,15
4,13.09239193116354,79.66110672458932,13.0918669,79.6598672,Highway_unknown,highway,,146.39,9
5,12.686879751326144,79.98191982372616,12.6868466,79.9830933,Highway_unknown,highway,,127.35,4
6,13.262342032353786,80.15518784667486,13.2624053,80.1551437,Highway_unknown,highway,,8.5,2
7,13.03163720496702,80.11164547233135,13.031615,80.1111299,Highway_unknown,highway,,55.91,9
8,13.124541533623342,80.25796601803866,13.124663333333332,80.25917166666666,Highway_unknown,highway,,131.26,4
9,12.924961856962328,79.56852754305379,12.9249167,79.5674133,Highway_unknown,highway,,120.86,5
10,13.023201537425267,80.23100190070849,13.025395,80.22985666666666,Highway_unknown,highway,,273.64,4
12,13.13097310814956,80.16615264691717,13.1319566,80.1659133,Highway_unknown,highway,,112.39,7
13,13.333985853909809,79.89262805799855,13.3340501,79.8924636,Highway_unknown,highway,,19.17,4
14,12.65815339135871,79.54197673977315,12.6638007,79.5441532,Highway_unknown,highway,,670.88,2
15,12.835468413346378,79.70768360290232,12.8366827,79.7065973,Highway_unknown,highway,,179.17,11
16,13.025690920470966,80.17634689081648,13.025393333333334,80.17600333333333,Highway_unknown,highway,,49.8,2
17,13.0569317255466,80.27083326008996,13.0563683,80.2739516,Highway_unknown,highway,,343.54,14
18,13.081467336194512,80.16809681752537,13.0821168,80.1680564,Highway_unknown,highway,,72.35,21
20,13.13454086205975,80.20868791975018,13.1350672,80.2098464,Highway_unknown,highway,,138.43,10
21,12.953121680720876,79.93886781482135,12.9526329,79.9399805,Highway_unknown,highway,,132.26,6
22,12.951680308624526,80.13682593917683,12.9500633,80.1392583,Highway_unknown,highway,,319.07,6
23,13.115500196881944,80.28619774598208,13.1145099,80.2924533,Highway_unknown,highway,,686.33,9
24,13.18379030122148,80.31132454887681,13.1849416,80.3115616,Highway_unknown,highway,,130.57,5
25,13.191581507752474,80.17962829136786,13.1939466,80.1834216,Highway_unknown,highway,,487.65,2
26,12.797840750142791,80.02137267953152,12.79745,80.021595,Highway_unknown,highway,,49.69,4
27,12.915537839549048,80.08761533518268,12.9197199,80.0869883,Highway_unknown,highway,,469.96,9
28,12.977419321635525,80.13224575099113,12.976913333333334,80.13217166666666,Highway_unknown,highway,,56.83,16
29,13.179788936203796,79.61243258350711,13.1824616,79.6109899,Highway_unknown,highway,,335.73,5
30,12.793430140141464,79.81776617381347,12.7933335,79.8178482,Highway_unknown,highway,,13.95,6
31,12.918900454260772,80.15486891605474,12.91911,80.1523383,Highway_unknown,highway,,275.26,10
32,13.027945986760397,80.20805521847984,13.0277616,80.208355,Highway_unknown,highway,,38.41,5
33,12.98342203605229,80.2578188478451,12.984168333333333,80.25781666666667,Highway_unknown,highway,,82.98,2
34,13.103550934156624,80.2519818887984,13.1030833,80.2527999,Highway_unknown,highway,,102.72,6
35,13.070054520420586,80.22749197579847,13.0686831,80.2259635,Highway_unknown,highway,,225.09,14
36,13.152549493345989,80.237209667149,13.1504499,80.2415657,Highway_unknown,highway,,526.28,2
37,13.275562761781485,80.26162296117322,13.2749164,80.2604007,Highway_unknown,highway,,150.54,3
38,13.0462298448018,80.0848786782305,13.04605,80.0845909,Highway_unknown,highway,,37.04,9
39,13.088889751109996,80.12978154640203,13.0879383,80.12534,Highway_unknown,highway,,492.54,2
40,13.056233610054882,80.19594660037016,13.0570133,80.1941916,Highway_unknown,highway,,208.94,19
41,13.119613458572452,80.20417785868955,13.1228661,80.201416,Highway_unknown,highway,,469.32,27
42,13.129873349348673,80.13286209547833,13.1307291,80.1328754,Highway_unknown,highway,,95.17,13
43,13.003945393238858,79.99962916727894,13.0065116,79.9956116,Highway_unknown,highway,,520.47,3
44,12.980867308905532,80.18651559892987,12.9814716,80.18564,Highway_unknown,highway,,116.26,13
45,13.088904140654591,80.19178855744467,13.088845,80.1929569,Highway_unknown,highway,,126.71,27
46,13.122177919119272,80.22332122031882,13.122385,80.2235,Highway_unknown,highway,,30.08,13
47,13.086888839463906,79.90139050190255,13.0918049,79.9077987,Highway_unknown,highway,,883.47,2
48,12.815960216486982,79.70859056001126,12.8103172,79.7090148,Highway_unknown,highway,,629.16,7
49,13.015203054925164,80.12098863247968,13.0108666,80.1234531,Highway_unknown,highway,,551.18,6
50,13.161250706513508,80.3010353869372,13.1605599,80.3025983,Highway_unknown,highway,,185.84,5
51,12.996819305191435,80.10061615205886,12.9978183,80.1002133,Highway_unknown,highway,,119.35,7
52,13.10981109864585,80.15588399160723,13.110048333333332,80.15227166666666,Highway_unknown,highway,,392.09,10
53,13.13222393156614,79.90986098974811,13.1319332,79.9094152,Highway_unknown,highway,,58.1,9
54,13.15224195437762,80.06799700253805,13.15222,80.0680083,Highway_unknown,highway,,2.73,2
55,13.06318556978147,80.15473215151661,13.0607831,80.1541805,Highway_unknown,highway,,273.74,6
56,12.992212594216772,80.203068687769,12.9950165,80.2034568,Highway_unknown,highway,,314.6,12
57,13.039425227599622,80.13282477708043,13.039223333333334,80.132755,Highway_unknown,highway,,23.69,22
58,12.756344136211087,79.99991451547419,12.7552187,80.0012111,Highway_unknown,highway,,188.24,2
59,12.957480787177213,80.18484991913861,12.9574183,80.1869499,Highway_unknown,highway,,227.67,7
60,13.037428134403225,80.21942859207384,13.032276666666666,80.21887666666667,Highway_unknown,highway,,575.93,10
61,12.803462655646609,79.77038047204923,12.8042006,79.7701501,Highway_unknown,highway,,85.77,3
63,13.121472048268052,80.06096188116003,13.1224334,80.0613212,Highway_unknown,highway,,113.76,3
64,13.10906717022178,80.10846390145836,13.1090784,80.1085567,Highway_unknown,highway,,10.13,11
65,12.93233973274596,80.21300843515913,12.9341216,80.2040116,Highway_unknown,highway,,994.95,3
66,13.051662052604998,80.05994111612448,13.0548,80.0598583,Highway_unknown,highway,,349.04,4
67,13.088140173320271,80.26027278844961,13.086908333333334,80.25997666666666,Highway_unknown,highway,,140.68,11
68,13.071230680628728,80.11839817417234,13.0716333,80.1229566,Highway_unknown,highway,,495.77,5
69,12.821720059620214,79.72686021058269,12.820288333333334,79.727505,Highway_unknown,highway,,173.87,3
70,13.078934425091596,80.18213066823385,13.0786299,80.1809866,Highway_unknown,highway,,128.46,19
71,13.207576941634963,80.1725528765573,13.2083547,80.172615,Highway_unknown,highway,,86.74,4
72,13.106209211754484,80.18350696214277,13.10774,80.183355,Highway_unknown,highway,,171.01,9
73,12.82102567346264,79.69366818125398,12.8191995,79.694395,Highway_unknown,highway,,217.82,14
74,12.968166591078454,79.9566146203494,12.9689836,79.9543523,Highway_unknown,highway,,261.43,3
75,13.077646635180384,80.24639629204239,13.0779683,80.24614,Highway_unknown,highway,,45.28,3
76,13.042682811716986,80.19429250037606,13.0427749,80.1935616,Highway_unknown,highway,,79.84,12
77,12.906297683062698,80.14145880548459,12.9068433,80.1425199,Highway_unknown,highway,,130.03,6
78,13.036917123661029,80.16262283429889,13.037881666666667,80.162285,Highway_unknown,highway,,113.32,15
79,13.062532577325712,80.21305176893826,13.0629837,80.213232,Highway_unknown,highway,,53.83,13
80,13.123376287067682,80.02659685056886,13.1245,80.02580833333333,Highway_unknown,highway,,151.34,3
81,13.096235721435706,80.22970328356865,13.0991673,80.2313137,Highway_unknown,highway,,369.7,9
82,13.15811715586459,80.19838145114333,13.1588828,80.1985359,Highway_unknown,highway,,86.76,2
83,12.927147806118978,80.1289091991557,12.9229783,80.1283566,Highway_unknown,highway,,467.48,6
84,13.076843275299884,79.67377266160427,13.0748498,79.6710681,Highway_unknown,highway,,367.35,4
85,13.122038374635157,80.14919408082487,13.1219249,80.1485883,Highway_unknown,highway,,66.8,26
86,13.097581345071449,80.14222565820694,13.097628333333333,80.1422,Highway_unknown,highway,,5.92,10
87,12.966931567465116,80.19645005060794,12.9689783,80.18987,Highway_unknown,highway,,748.45,14
88,13.025491426606765,80.14779837816447,13.0248832,80.1483726,Highway_unknown,highway,,91.89,7
89,13.045576523801223,80.11750405146496,13.045625,80.1174883,Highway_unknown,highway,,5.65,20
90,12.939394480162548,80.18153523280601,12.9390016,80.1824666,Highway_unknown,highway,,109.98,9
92,12.925445711696325,80.10462414851317,12.9255766,80.1045666,Highway_unknown,highway,,15.83,6
93,13.075338925800883,80.26508826792458,13.075375,80.2653266,Highway_unknown,highway,,26.12,6
94,12.86328489321894,80.07184675660787,12.8625516,80.073545,Highway_unknown,highway,,201.35,5
95,12.926004316102134,80.14250618918327,12.92251,80.14247,Highway_unknown,highway,,388.57,8
96,13.115222533417075,80.2371344102974,13.113595,80.2355683,Highway_unknown,highway,,248.02,16
97,13.10309359680567,80.20789605423643,13.1031,80.20792,Highway_unknown,highway,,2.69,11
98,12.98030424317803,80.218591531421,12.9801166,80.218535,Highway_unknown,highway,,21.75,6
99,12.844089629874263,79.69673289250744,12.8447664,79.6969509,Highway_unknown,highway,,78.88,10
100,13.13647589506582,80.10560043020695,13.1369133,80.103295,Highway_unknown,highway,,254.34,4
101,13.119843805795004,80.07532092944493,13.119275,80.0753033,Highway_unknown,highway,,63.28,5
102,12.96172215180286,80.15147904619575,12.9594083,80.1497033,Highway_unknown,highway,,321.29,2
103,13.105123642340866,79.91053898489034,13.1107399,79.91053,Highway_unknown,highway,,624.5,5
104,12.916067982191263,80.19044048246482,12.91733,80.190635,Highway_unknown,highway,,141.9,4
105,13.2574482619426,80.27505694289056,13.2574498,80.2750015,Highway_unknown,highway,,6.0,2
106,13.31975405,80.18248929999999,13.3199703,80.1825904,Highway_unknown,highway,,26.42,2
107,13.06991869855681,80.03359525902509,13.0703549,80.0339883,Highway_unknown,highway,,64.54,3
108,13.052186908978308,80.23618015400002,13.0533671,80.2365684,Highway_unknown,highway,,137.81,3
110,13.092734892553628,80.10813765323078,13.0927824,80.1084136,Highway_unknown,highway,,30.35,10
111,13.046166807978649,80.09562955881249,13.0502009,80.0890541,Highway_unknown,highway,,841.76,11
