cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
3,13.124596247271532,79.93090740896669,13.1340116,79.9334766,Highway_unknown,highway,,1083.28,3
9,12.618811370427732,79.76037859401052,12.6662183,79.6625183,Highway_unknown,highway,,11854.29,3
13,12.88893009735956,80.0214999712715,12.8927366,80.0704483,Highway_unknown,highway,,5322.49,5
29,13.025955168587544,80.04845705583745,13.0362331,80.0447654,Highway_unknown,highway,,1210.81,2
31,13.025814160016347,80.26090695998019,13.006485,80.25728333333333,Highway_unknown,highway,,2184.86,6
32,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,3
50,12.791519293436544,80.22110553432276,12.8870332,80.2367305,Highway_unknown,highway,,10754.91,2
58,12.94446938542425,80.1614942871907,12.9533166,80.1641333,Highway_unknown,highway,,1024.49,2
90,12.969494599941717,80.04671405052189,12.97007,80.0897116,Highway_unknown,highway,,4659.58,2
94,13.3425842,80.2209773,13.3209431,80.1829242,Highway_unknown,highway,,4768.93,2
95,13.1750723,80.0199562,13.1517338,80.0555896,Highway_unknown,highway,,4649.72,2
98,12.80110455,80.07784805,12.8315083,80.0465166,Highway_unknown,highway,,4792.67,2
104,12.88926660986152,80.14502724440628,12.9043883,80.1502816,Highway_unknown,highway,,1775.29,3
111,13.205186818827482,80.31565722437264,13.1927999,80.3136733,Highway_unknown,highway,,1394.01,2
112,12.860137395236707,80.0429772146652,12.8444051,80.0600719,Highway_unknown,highway,,2548.46,3
115,13.034708275821568,80.27274408792167,13.0528433,80.2736216,Highway_unknown,highway,,2018.76,8
125,12.895427870088348,80.17300653173702,12.9033966,80.15854,Highway_unknown,highway,,1801.05,3
126,12.964695396743462,80.1990211723344,12.9688616,80.1898166,Highway_unknown,highway,,1099.74,23
177,12.837492425499292,79.71666257108743,12.8378665,79.7068881,Highway_unknown,highway,,1060.52,8
