cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.115381813497756,80.20463153071796,13.118815,80.19883333333334,Highway_unknown,highway,,734.85,8
1,12.816308629276586,79.69884696645066,12.8201174,79.6964168,Highway_unknown,highway,,498.79,2
2,12.946686768405836,80.14863726325292,12.941135,80.1470966,Highway_unknown,highway,,639.51,2
3,13.122417980859126,79.91289567553306,13.1226016,79.9118883,Highway_unknown,highway,,110.98,3
4,13.085483083348343,79.66280025033744,13.0860662,79.6629333,Highway_unknown,highway,,66.42,4
6,13.03045912436819,80.22258158958608,13.031275,80.22295,Highway_unknown,highway,,99.11,6
7,13.120346549211048,80.07509740037719,13.119275,80.0753033,Highway_unknown,highway,,121.22,4
8,13.063581743514414,80.15842775911958,13.0617833,80.1583862,Highway_unknown,highway,,200.03,3
9,13.163365471235736,80.30267952054933,13.16352,80.30336,Highway_unknown,highway,,75.65,6
10,13.09632644138217,80.22930995991318,13.0996,80.2302837,Highway_unknown,highway,,378.97,4
11,13.123083618606277,80.14604609764004,13.1229782,80.1460075,Highway_unknown,highway,,12.44,7
12,12.917035203130531,80.09166710831575,12.92101,80.090435,Highway_unknown,highway,,461.71,5
13,12.96572273455235,79.94938119364014,12.9671168,79.9492359,Highway_unknown,highway,,155.81,3
14,13.062821190601287,80.23202963422446,13.0648159,80.2345657,Highway_unknown,highway,,353.07,3
15,13.028104516956954,79.80280717010297,13.0292999,79.8023128,Highway_unknown,highway,,143.3,2
16,13.01330147922075,80.11764100024841,13.0110001,80.1166343,Highway_unknown,highway,,278.17,3
17,12.973055319708676,80.13741839395838,12.97313,80.1374,Highway_unknown,highway,,8.54,8
18,13.04263911592254,80.17890034765958,13.0421328,80.1790809,Highway_unknown,highway,,59.6,6
19,13.07695604308657,80.17454833287975,13.0784416,80.1740633,Highway_unknown,highway,,173.34,6
20,13.118127654937611,80.28562435973926,13.1169783,80.292845,Highway_unknown,highway,,792.32,3
22,13.154064894799513,80.1019252044686,13.1528466,80.10106,Highway_unknown,highway,,164.71,2
23,13.04202195361615,80.13189257679291,13.039911666666669,80.131025,Highway_unknown,highway,,252.77,7
24,13.052093542133544,80.20430244476495,13.05273,80.20405666666667,Highway_unknown,highway,,75.61,3
25,12.98643311393758,80.20944830386146,12.985717,80.2178478,Highway_unknown,highway,,913.57,4
26,13.12199190517603,80.22755651774145,13.1193995,80.2252388,Highway_unknown,highway,,382.22,11
28,13.144694423512222,80.20232519684707,13.1462335,80.2014446,Highway_unknown,highway,,195.91,4
29,12.923191394989178,80.19578184533721,12.92295,80.1974199,Highway_unknown,highway,,179.55,3
30,13.131135875567017,80.16504104389612,13.1318816,80.1649916,Highway_unknown,highway,,83.09,10
31,12.844159445809307,79.69846338059979,12.8443002,79.6985721,Highway_unknown,highway,,19.59,7
32,13.15396360175105,80.07011970101523,13.15231,80.06998,Highway_unknown,highway,,184.49,4
33,13.114898940445295,80.10400157678197,13.1159516,80.1042016,Highway_unknown,highway,,119.04,11
34,13.081579451751336,80.21558311295104,13.0824005,80.2156543,Highway_unknown,highway,,91.62,8
35,13.082859913066612,79.9069135541241,13.0826258,79.9084234,Highway_unknown,highway,,165.59,3
36,13.093081660552588,80.25176370085175,13.0976998,80.250101,Highway_unknown,highway,,544.17,3
37,13.09834758555989,80.14520834190226,13.097393333333333,80.14528,Highway_unknown,highway,,106.39,3
38,13.059327781135352,80.27145901959526,13.0592116,80.27425,Highway_unknown,highway,,302.59,9
39,13.027500611558342,80.16305607241193,13.0312168,80.1653003,Highway_unknown,highway,,479.44,5
40,13.094885435951769,80.18646865945196,13.0994498,80.1854133,Highway_unknown,highway,,520.25,4
