cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.033365942004474,80.13965987167164,13.0369997,80.1401805,Highway_unknown,highway,,407.97,3
1,12.817191024951477,79.70344741647584,12.8221166,79.6988677,Highway_unknown,highway,,739.28,7
2,13.124878825872928,80.21195085872509,13.1279003,80.2101516,Highway_unknown,highway,,388.38,3
3,13.104333577998505,79.9060718457444,13.0972027,79.9074554,Highway_unknown,highway,,806.95,5
4,12.94563651245026,80.14561741755989,12.9416216,80.1447483,Highway_unknown,highway,,456.27,4
5,13.071371200516388,79.6691896777827,13.0723783,79.6717616,Highway_unknown,highway,,300.24,3
6,13.071661139171862,80.21717633538734,13.0717825,80.2155971,Highway_unknown,highway,,171.58,6
7,13.101929490796344,80.13427190036788,13.102085,80.134468,Highway_unknown,highway,,27.39,6
8,12.664979988149437,79.54066654214965,12.6646995,79.5406627,Highway_unknown,highway,,31.19,3
9,13.115083584883887,80.28614235019762,13.1145099,80.2924533,Highway_unknown,highway,,686.41,5
10,12.957463615080538,79.94437175705278,12.9575002,79.9437332,Highway_unknown,highway,,69.32,2
11,13.274825374691169,80.26205263745764,13.2739733,80.2609116,Highway_unknown,highway,,155.65,3
13,13.047135384508763,80.19756732219119,13.047356666666667,80.19754833333333,Highway_unknown,highway,,24.69,9
14,13.082750547679424,80.16812082433053,13.0822157,80.1684188,Highway_unknown,highway,,67.66,17
15,12.922791508548732,80.10291319962278,12.925455,80.10349,Highway_unknown,highway,,302.69,3
16,13.049080617416331,80.09656117997238,13.0554831,80.0936317,Highway_unknown,highway,,779.44,5
17,13.126328589235849,79.99868645111927,13.125286666666666,79.99932833333334,Highway_unknown,highway,,135.11,2
18,13.117037394198238,80.23374718049577,13.117211666666666,80.23188333333333,Highway_unknown,highway,,202.77,9
19,13.034369200526314,80.22319021324957,13.031663333333332,80.22198666666667,Highway_unknown,highway,,327.91,9
20,13.118839113698078,80.15008228354918,13.118871666666667,80.149785,Highway_unknown,highway,,32.4,17
21,12.80307647720602,80.02586842745451,12.8035933,80.0255716,Highway_unknown,highway,,65.87,2
22,13.162889294700104,80.25412013283696,13.16455,80.2547645,Highway_unknown,highway,,197.4,4
23,12.974661991516918,80.13518058432236,12.974506666666668,80.13512,Highway_unknown,highway,,18.48,10
25,13.153346507390848,80.19919636544643,13.155055,80.1965216,Highway_unknown,highway,,346.36,5
26,12.918334642202243,80.07156385894733,12.9160233,80.0733733,Highway_unknown,highway,,323.28,2
27,13.014704062317104,80.1190897862498,13.0107331,80.1175308,Highway_unknown,highway,,472.75,5
28,12.91187127926991,80.1508699449836,12.9155133,80.1524433,Highway_unknown,highway,,439.41,4
29,13.095377399703544,80.10724842423109,13.0953836,80.1083183,Highway_unknown,highway,,115.87,8
30,13.033289457387122,80.16843655409163,13.030336666666669,80.16718333333333,Highway_unknown,highway,,355.3,7
31,13.085104562016104,80.25636544572943,13.086366666666668,80.25604666666666,Highway_unknown,highway,,144.52,5
32,13.132613690150206,80.16682151115721,13.132115,80.166815,Highway_unknown,highway,,55.46,6
33,13.064705227911558,80.14287962100876,13.0615997,80.1434516,Highway_unknown,highway,,350.83,3
34,13.086444661000046,80.18704238528308,13.0855033,80.1876033,Highway_unknown,highway,,121.03,16
35,12.927362013141964,79.88358601359812,12.9273498,79.8828792,Highway_unknown,highway,,76.61,2
36,13.062049678657244,80.23865903450654,13.0628866,80.236135,Highway_unknown,highway,,288.8,3
37,13.118517158573091,80.09939693777771,13.1196033,80.09937,Highway_unknown,highway,,120.81,11
38,12.965520688495545,80.19077041239474,12.9662483,80.1887883,Highway_unknown,highway,,229.51,7
39,13.055229114311045,80.27270350911007,13.0552466,80.2738183,Highway_unknown,highway,,120.77,12
40,12.88204077914526,80.07821425507676,12.880975,80.0805583,Highway_unknown,highway,,280.36,3
41,13.15312242590439,80.06039963156061,13.15398,80.06049,Highway_unknown,highway,,95.86,2
42,12.84212507985059,79.69709881468842,12.8417169,79.6990489,Highway_unknown,highway,,216.23,7
43,13.095155490898872,80.22989942323387,13.0991673,80.2313137,Highway_unknown,highway,,471.66,10
44,13.129831033146177,80.13149521985618,13.1307291,80.1315593,Highway_unknown,highway,,100.1,10
