cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.119921423866794,80.20531632449264,13.1237673,80.2029323,Highway_unknown,highway,,499.53,8
2,13.048865360551718,80.11504107584935,13.049403333333334,80.11239833333333,Highway_unknown,highway,,292.45,16
3,12.925203774350814,80.11184018156878,12.924885,80.11182,Highway_unknown,highway,,35.51,2
4,13.117472404723795,79.91466365676673,13.1130671,79.9121332,Highway_unknown,highway,,561.29,7
5,12.921247855566396,80.19602128715113,12.9208099,80.196725,Highway_unknown,highway,,90.49,2
6,13.094810441569278,79.65907325571179,13.0948829,79.6589183,Highway_unknown,highway,,18.62,9
7,13.02824406612417,80.22008298637746,13.031583333333334,80.21823833333333,Highway_unknown,highway,,421.67,7
9,13.108606356725128,80.2519962187003,13.1086993,80.2519512,Highway_unknown,highway,,11.43,4
10,12.821894006592908,79.69341902845825,12.8193664,79.6947622,Highway_unknown,highway,,316.55,8
11,13.119229103319078,80.0701786228068,13.1195799,80.070155,Highway_unknown,highway,,39.09,3
12,13.02435349013545,80.14911364282533,13.0248832,80.1483726,Highway_unknown,highway,,99.57,5
13,13.130998067368605,80.13000865887678,13.1309664,80.1299667,Highway_unknown,highway,,5.75,16
14,12.979928205371692,80.14093309323187,12.972975,80.138095,Highway_unknown,highway,,832.07,3
15,12.866179924980202,80.07212048956299,12.8651733,80.0745166,Highway_unknown,highway,,282.84,10
16,13.147158041312254,80.23192881948108,13.1469666,80.2314949,Highway_unknown,highway,,51.58,2
17,12.665768383198095,79.53842933812308,12.6663506,79.5400476,Highway_unknown,highway,,187.12,2
18,13.044618847576253,80.18399815321307,13.044073333333332,80.18430333333333,Highway_unknown,highway,,69.08,11
19,13.195671092714676,80.17884933729181,13.1961607,80.1805496,Highway_unknown,highway,,191.95,5
21,13.083561074648312,80.20838246088506,13.0826663,80.2086067,Highway_unknown,highway,,102.42,7
22,13.333872890722631,79.89036384437318,13.3329331,79.891014,Highway_unknown,highway,,125.97,2
23,13.08120174983009,80.25091560193309,13.081941666666667,80.24966166666667,Highway_unknown,highway,,158.79,6
24,12.686889271001274,79.97948992363443,12.6901364,79.9805974,Highway_unknown,highway,,380.53,7
25,12.991727889893372,80.20264616044145,12.9934334,80.199871,Highway_unknown,highway,,355.49,5
26,13.120368078966967,80.28716342219386,13.1188716,80.2931966,Highway_unknown,highway,,674.21,15
27,12.981294870387057,80.25658413781116,12.981461666666666,80.25932666666667,Highway_unknown,highway,,297.74,5
28,12.8032584262664,79.7679961019423,12.804383,79.7679662,Highway_unknown,highway,,125.09,4
29,13.098644910598846,80.14564750872024,13.097393333333333,80.14528,Highway_unknown,highway,,144.75,9
30,13.082049669737438,80.1672615322027,13.0819165,80.1673221,Highway_unknown,highway,,16.2,21
31,12.918534954435188,80.1527510556179,12.9185216,80.1523416,Highway_unknown,highway,,44.4,6
32,13.117262063057542,80.22831347823214,13.11772,80.22847666666667,Highway_unknown,highway,,53.9,9
33,13.105877235104224,80.10530599204515,13.1058001,80.1084136,Highway_unknown,highway,,336.66,9
34,13.0286806958982,80.10978360308508,13.0288033,80.1113016,Highway_unknown,highway,,165.01,7
35,12.924755368355363,79.56769622997281,12.9249167,79.5674133,Highway_unknown,highway,,35.53,3
37,13.014999230956208,79.9972052801651,13.0123662,79.9992513,Highway_unknown,highway,,367.23,2
38,12.940633886723791,80.14532299875546,12.9414066,80.1454649,Highway_unknown,highway,,87.29,12
39,12.995864366930236,80.10025771056257,12.9976616,80.0998483,Highway_unknown,highway,,204.71,4
40,13.048091540279035,80.08877118765051,13.0489838,80.0879859,Highway_unknown,highway,,130.69,10
41,13.123750897799754,80.0370513205155,13.1234,80.03183833333334,Highway_unknown,highway,,565.87,2
43,13.067512706737636,80.21350866951441,13.0675673,80.2143478,Highway_unknown,highway,,91.09,9
44,12.838524794637818,79.70699381800563,12.8385663,79.7069168,Highway_unknown,highway,,9.54,8
46,13.138752800224038,79.90939349361459,13.1373216,79.9092749,Highway_unknown,highway,,159.66,6
47,13.02399032782624,80.17735285745181,13.0243504,80.1776218,Highway_unknown,highway,,49.52,2
