cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
11,12.61833339542773,79.76007229401053,12.6382883,79.6529433,Highway_unknown,highway,,11833.91,3
17,13.11128885,79.4256513,13.1825549,79.6107083,Highway_unknown,highway,,21548.1,2
19,13.20860988105642,80.31913103897745,13.1927999,80.3136733,Highway_unknown,highway,,1854.62,3
44,13.176991039252462,80.02309449028074,13.1517338,80.0555896,Highway_unknown,highway,,4501.8,2
55,12.899698700000007,79.67729805717774,12.8745341,79.6776342,Highway_unknown,highway,,2798.41,2
60,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,3
71,12.889935518484693,80.02623927361427,12.8935183,80.070385,Highway_unknown,highway,,4801.6,2
76,13.0086519,79.84087869999999,13.0308949,79.8303983,Highway_unknown,highway,,2721.47,2
88,12.85955947947634,80.0410119549998,12.8420083,80.0575316,Highway_unknown,highway,,2648.78,3
100,13.035592552408485,80.27045706056218,13.0528533,80.2734483,Highway_unknown,highway,,1946.47,4
