cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.992901001575891,80.20050077920314,12.9934334,80.199871,Highway_unknown,highway,,90.34,8
1,12.814762074191425,79.70791609355821,12.8103506,79.7075366,Highway_unknown,highway,,492.26,7
2,13.16473158015999,80.25613785435732,13.1641416,80.2558833,Highway_unknown,highway,,71.16,5
3,13.08110062385955,80.16675908277115,13.0816006,80.1666355,Highway_unknown,highway,,57.18,14
4,12.91961249623078,80.09698047291013,12.9222716,80.0958183,Highway_unknown,highway,,321.39,4
5,13.132087071346724,79.92685119367131,13.1350399,79.9280949,Highway_unknown,highway,,354.89,2
6,13.093933292834,79.65663395854665,13.0944283,79.6589899,Highway_unknown,highway,,261.03,12
7,13.046630922339382,80.08847914397226,13.0489838,80.0879859,Highway_unknown,highway,,267.03,7
8,13.10941079354653,80.25213829224953,13.1092,80.2523231,Highway_unknown,highway,,30.82,3
9,13.116795663948436,80.09744249945486,13.1170725,80.0974845,Highway_unknown,highway,,31.12,13
10,13.065341691706468,80.21752729479675,13.0652666,80.2145195,Highway_unknown,highway,,325.9,9
12,13.05606697996372,80.2717950737897,13.0559016,80.2738766,Highway_unknown,highway,,226.22,8
13,12.939104966841052,80.14835607751337,12.9407283,80.1485916,Highway_unknown,highway,,182.3,10
14,12.951534438578667,79.94080213823807,12.952148333333334,79.93974666666666,Highway_unknown,highway,,133.2,7
15,12.666385258002936,79.54009220835655,12.6663506,79.5400476,Highway_unknown,highway,,6.19,3
16,13.03912703392392,80.13284491554518,13.0390483,80.1328416,Highway_unknown,highway,,8.76,29
18,13.109464662655922,80.15773588036649,13.110048333333332,80.15227166666666,Highway_unknown,highway,,595.31,7
20,13.156038045760434,80.19912531503681,13.1559336,80.1965904,Highway_unknown,highway,,274.72,4
21,13.119855030081196,80.03059879412349,13.11977,80.02923,Highway_unknown,highway,,148.53,4
22,12.965753896461845,80.19797069293709,12.9689783,80.18987,Highway_unknown,highway,,948.19,14
23,13.106118094183532,80.18236857918275,13.10774,80.183355,Highway_unknown,highway,,209.61,8
24,13.114967248665724,80.28603506880755,13.1145099,80.2924533,Highway_unknown,highway,,696.92,16
25,12.84842736232176,79.69975416274801,12.8483983,79.7034316,Highway_unknown,highway,,398.69,8
26,13.027935676320828,80.23121258797018,13.027596666666666,80.231035,Highway_unknown,highway,,42.32,6
27,12.958228657160197,80.14087224917935,12.956825,80.1435533,Highway_unknown,highway,,329.8,6
28,13.032383530013345,80.17527536264272,13.027395,80.17253333333333,Highway_unknown,highway,,629.23,7
29,13.180650459006603,79.61230212605462,13.1825016,79.6110616,Highway_unknown,highway,,245.78,2
30,12.79049682219261,79.82147609215308,12.7921664,79.8174381,Highway_unknown,highway,,475.59,2
31,13.280480509945509,80.25732850382313,13.2810533,80.2574833,Highway_unknown,highway,,65.86,4
32,13.253496388478297,80.15781949936941,13.2585334,80.1556491,Highway_unknown,highway,,607.36,2
33,13.025142968742044,80.11391569458884,13.0271049,80.11074,Highway_unknown,highway,,407.37,5
34,13.119338478337411,80.20456546083851,13.1234502,80.2023124,Highway_unknown,highway,,518.23,15
35,12.918654495828292,80.19202695991777,12.9174966,80.1918149,Highway_unknown,highway,,130.79,7
36,13.122691464383548,80.14859326872916,13.1227083,80.1485716,Highway_unknown,highway,,3.0,19
37,12.980944069334225,80.22147452143854,12.9807996,80.2210426,Highway_unknown,highway,,49.48,10
38,12.919502360520791,80.15213682877969,12.9197716,80.1522683,Highway_unknown,highway,,33.16,5
39,13.15739380918498,80.29916195779757,13.1568183,80.3014933,Highway_unknown,highway,,260.41,4
40,13.084505397541346,80.22725681973095,13.082668333333332,80.22705833333333,Highway_unknown,highway,,205.4,14
41,13.047649920491937,80.11515759475832,13.045335,80.11439833333333,Highway_unknown,highway,,270.23,17
42,13.077971708047006,79.90861347333541,13.079915,79.9088573,Highway_unknown,highway,,217.69,6
43,13.00735461467973,80.25745638842989,13.006485,80.25728333333333,Highway_unknown,highway,,98.5,2
45,12.994472782280098,80.0941922396949,12.997355,80.09364,Highway_unknown,highway,,326.03,8
46,13.169783289401462,80.09504198212893,13.1666166,80.09835,Highway_unknown,highway,,502.26,4
47,13.131429272822674,80.16274757768169,13.13156,80.1626968,Highway_unknown,highway,,15.54,18
48,12.74971715,79.6753456,12.7495833,79.6754883,Highway_unknown,highway,,21.47,2
49,13.092262542484864,80.10907827468647,13.0921233,80.10851,Highway_unknown,highway,,63.46,9
50,13.097752035978033,80.28528984261204,13.0953433,80.2926133,Highway_unknown,highway,,837.15,2
51,13.04300051382401,80.18922581010825,13.0446994,80.1865959,Highway_unknown,highway,,341.83,11
52,12.821423991502677,79.7271769674132,12.820288333333334,79.727505,Highway_unknown,highway,,131.19,6
53,13.007680758183904,80.1300392349571,13.0117666,80.1295185,Highway_unknown,highway,,457.81,5
54,13.082218369362902,80.25558162727081,13.08155,80.25493,Highway_unknown,highway,,102.49,10
56,13.031880084910272,80.21075079149459,13.0320668,80.2106666,Highway_unknown,highway,,22.68,16
57,13.195280083687594,80.15945654530653,13.1967651,80.1603889,Highway_unknown,highway,,193.53,2
58,13.088449493229213,80.18641091443438,13.087931666666666,80.18631333333333,Highway_unknown,highway,,58.54,21
59,13.129820058314849,80.12948085955286,13.1308833,80.12978,Highway_unknown,highway,,122.58,17
61,13.1057078,80.05300625000001,13.1055831,80.0527381,Highway_unknown,highway,,32.18,2
62,13.130094938463133,80.25304166276125,13.1313016,80.2520583,Highway_unknown,highway,,171.3,10
63,13.047745956981398,80.2362262866191,13.0532836,80.2370548,Highway_unknown,highway,,622.26,5
