cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.116130153293302,80.28325824971475,13.1152366,80.2925483,Highway_unknown,highway,,1010.95,18
1,12.832396177038271,79.72239393431839,12.820523333333334,79.722525,Highway_unknown,highway,,1320.28,4
16,13.342584199999996,80.22223615009766,13.3209431,80.1829242,Highway_unknown,highway,,4887.01,3
21,12.615991383432243,79.75997773390901,12.6382883,79.6529433,Highway_unknown,highway,,11875.51,2
24,13.111274063337856,79.42558217702747,13.1825549,79.6107083,Highway_unknown,highway,,21555.66,2
44,13.026881331978943,80.26148103604612,13.006485,80.25728333333333,Highway_unknown,highway,,2313.11,5
46,12.883647104658612,80.02068077398735,12.8919433,80.07057,Highway_unknown,highway,,5485.8,3
71,12.887551612835347,80.14347306864614,12.9044166,80.150205,Highway_unknown,highway,,2012.26,4
72,12.716942328542949,79.75715753716207,12.7328166,79.6735416,Highway_unknown,highway,,9239.48,2
73,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,2
80,13.207380464153138,80.31684712793427,13.1927999,80.3136733,Highway_unknown,highway,,1657.29,4
85,13.07871375,80.14323105,13.0666399,80.1364533,Highway_unknown,highway,,1530.16,2
117,12.78462527919488,80.21722598649542,12.8870332,80.2367305,Highway_unknown,highway,,11581.92,2
124,13.037671128351809,80.27358566661007,13.0528433,80.2736216,Highway_unknown,highway,,1687.07,13
128,12.98736209908037,79.67562871325944,13.0203175,79.677515,Highway_unknown,highway,,3670.17,2
146,12.806334332851335,80.22451838694204,12.8870332,80.2367305,Highway_unknown,highway,,9070.45,3
154,13.02323296131069,80.053136067481,13.037467,80.0494003,Highway_unknown,highway,,1633.67,3
160,13.035253478624144,80.24447193760965,13.030673333333333,80.23066666666666,Highway_unknown,highway,,1579.87,7
164,12.85715715209326,80.03827733109647,12.8398116,80.0552033,Highway_unknown,highway,,2662.16,3
