cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.094513362886335,80.19868760020842,13.09447,80.1986949,Highway_unknown,highway,,4.89,14
1,12.874703042749037,79.62146491459461,12.8744666,79.6212933,Highway_unknown,highway,,32.21,2
2,13.124918246220414,79.91194749059646,13.124783,79.9111318,Highway_unknown,highway,,89.6,17
3,13.094563998680403,79.65934237093974,13.0944001,79.6590518,Highway_unknown,highway,,36.37,17
4,13.099599040813692,80.13677486223766,13.098223333333332,80.13716666666667,Highway_unknown,highway,,158.75,12
5,12.692958305965565,79.9787564446774,12.6931047,79.9794769,Highway_unknown,highway,,79.83,8
6,13.04153063848926,80.17915082548842,13.041935,80.17912666666666,Highway_unknown,highway,,45.04,13
7,12.824861468569509,79.70762522308543,12.825436666666668,79.70898833333334,Highway_unknown,highway,,161.04,11
8,13.262311404406551,80.27118668594673,13.2633483,80.2713766,Highway_unknown,highway,,117.12,2
9,13.103271478695586,80.27774235957928,13.1017583,80.274545,Highway_unknown,highway,,384.99,8
10,12.9196442875,80.1971088375,12.919775,80.1965866,Highway_unknown,highway,,58.44,2
11,13.035716838468742,80.23496237857621,13.030673333333333,80.23066666666666,Highway_unknown,highway,,728.74,3
13,13.333344542542454,79.8908942108793,13.3331,79.8912334,Highway_unknown,highway,,45.68,6
14,13.16432812672244,80.256195645857,13.1640433,80.2561433,Highway_unknown,highway,,32.17,6
15,13.034398243075138,80.11246865620888,13.0346499,80.1118816,Highway_unknown,highway,,69.48,7
16,12.951494072090718,79.9408236463961,12.952148333333334,79.93974666666666,Highway_unknown,highway,,137.53,6
17,12.9773271436386,80.20518646934822,12.980616,80.1987266,Highway_unknown,highway,,789.73,9
18,13.248081565192782,80.15866566403407,13.2470381,80.1575565,Highway_unknown,highway,,166.96,4
19,13.129390113096036,80.15834715001337,13.1301498,80.1579093,Highway_unknown,highway,,96.87,20
20,12.918110949824795,80.07701901322979,12.9185016,80.0759899,Highway_unknown,highway,,119.7,16
21,13.111774114605522,80.1089202712204,13.1116998,80.1086235,Highway_unknown,highway,,33.18,13
22,13.122001222910272,80.22288173877199,13.122385,80.2235,Highway_unknown,highway,,79.4,27
24,12.794277491930432,79.81914643976735,12.7945995,79.8180484,Highway_unknown,highway,,124.33,6
25,13.074444523357714,80.21986357305813,13.0744533,80.2197966,Highway_unknown,highway,,7.32,10
26,12.861795070422758,80.06671363812818,12.8587933,80.0712783,Highway_unknown,highway,,596.89,2
27,13.081903609139998,80.1676056672166,13.0820333,80.1677131,Highway_unknown,highway,,18.53,44
28,13.151679587143937,80.06867133021125,13.1522233,80.0687483,Highway_unknown,highway,,61.03,6
30,13.011450449228358,80.0038025916875,13.011215,80.00368333333333,Highway_unknown,highway,,29.2,10
31,13.033418257616994,79.85349609142435,13.0333662,79.8533487,Highway_unknown,highway,,16.98,3
32,13.177513351323082,79.61280944771899,13.1824616,79.6109899,Highway_unknown,highway,,584.42,8
33,12.906886141805904,80.15682737574399,12.9075066,80.157325,Highway_unknown,highway,,87.57,5
34,13.058361308509596,80.27305947184652,13.0583549,80.2741483,Highway_unknown,highway,,117.94,22
35,13.149802691115394,80.29891192717626,13.1497716,80.29906,Highway_unknown,highway,,16.4,11
36,13.032786543751335,80.1619469878612,13.0330157,80.1620292,Highway_unknown,highway,,26.99,21
37,12.9774894821534,80.25899244214418,12.974746666666666,80.25858666666667,Highway_unknown,highway,,308.14,7
38,13.189620064937651,80.18845493244912,13.1890733,80.1879383,Highway_unknown,highway,,82.61,6
40,12.80472038006653,80.0301066078442,12.806615,80.0275749,Highway_unknown,highway,,346.03,3
41,13.10061159957477,80.2529573892062,13.1009995,80.2520561,Highway_unknown,highway,,106.72,14
42,13.119789247032214,80.07702087790139,13.1193816,80.0771566,Highway_unknown,highway,,47.65,12
43,13.048856524418111,80.08617752897496,13.0488836,80.086193,Highway_unknown,highway,,3.45,19
44,13.024530543718235,80.20772565858468,13.024555,80.206915,Highway_unknown,highway,,87.86,9
45,13.07085328530304,80.12333483652337,13.0710316,80.1230583,Highway_unknown,highway,,35.92,9
46,13.128226808473876,80.12543552266264,13.1293129,80.124607,Highway_unknown,highway,,150.45,9
47,12.969339865511142,80.18487424605526,12.9693783,80.186165,Highway_unknown,highway,,139.93,8
48,13.136957681452865,80.20472625701957,13.1384825,80.2069473,Highway_unknown,highway,,294.26,15
50,13.037430301221608,80.134394647127,13.0381667,80.1346778,Highway_unknown,highway,,87.44,29
51,12.818088411560955,79.69240787057203,12.8179335,79.6927642,Highway_unknown,highway,,42.3,19
52,13.082746549581374,79.90867456878642,13.0826854,79.9084472,Highway_unknown,highway,,25.55,10
53,12.973547938792668,80.13587418106637,12.973826666666668,80.13607,Highway_unknown,highway,,37.56,20
55,13.185386747668526,80.3096541787223,13.1853766,80.3094616,Highway_unknown,highway,,20.88,8
56,13.086028445341269,80.19168572079508,13.0872499,80.1922512,Highway_unknown,highway,,148.99,31
57,13.109892548836736,79.95521820602762,13.1081266,79.9545016,Highway_unknown,highway,,211.14,2
58,13.043853743336754,80.19020637251616,13.04647,80.19048,Highway_unknown,highway,,292.42,28
59,13.118954079603736,80.02844575248893,13.118441666666667,80.02901,Highway_unknown,highway,,83.55,4
61,13.121328626497595,80.14696768004569,13.121966666666667,80.14751333333334,Highway_unknown,highway,,92.33,43
62,13.152014685673125,79.8919166053927,13.1521499,79.8912811,Highway_unknown,highway,,70.43,4
63,12.803504251405757,79.76961778722054,12.8041828,79.7696685,Highway_unknown,highway,,75.65,5
64,12.99822993747506,80.11002803352805,12.996091666666668,80.10963,Highway_unknown,highway,,241.64,6
65,12.928955810891178,80.10790847295013,12.927235,80.109015,Highway_unknown,highway,,225.82,8
66,13.057017413594444,80.21313691812884,13.057141666666666,80.21148166666667,Highway_unknown,highway,,179.83,17
67,13.319755750379102,80.18263742294594,13.3199703,80.1825904,Highway_unknown,highway,,24.39,5
68,13.13344053598566,80.25606774628437,13.1347816,80.25399,Highway_unknown,highway,,269.92,11
69,13.106370816782247,80.18343259401716,13.10774,80.183355,Highway_unknown,highway,,152.48,17
70,12.922570653625332,80.16151437179565,12.9227933,80.1614383,Highway_unknown,highway,,26.09,7
72,13.14160618547001,80.22979102644983,13.139118333333334,80.22770166666666,Highway_unknown,highway,,357.37,6
73,12.881397016625009,79.93732681710462,12.8810667,79.9357318,Highway_unknown,highway,,176.75,3
74,13.060370464353012,80.1662027350184,13.0614995,80.1654148,Highway_unknown,highway,,151.81,15
75,12.977861657171353,80.22293116866594,12.9772162,80.223236,Highway_unknown,highway,,79.01,13
77,13.20865311953627,80.27277341072268,13.2090883,80.2710316,Highway_unknown,highway,,194.67,5
78,12.987760817105071,80.20052149747028,12.9884326,80.1978302,Highway_unknown,highway,,301.02,19
79,13.097326375430104,80.21995578515207,13.0964827,80.2195167,Highway_unknown,highway,,105.18,19
80,13.120250067702036,80.21080617669284,13.1260502,80.2070999,Highway_unknown,highway,,759.63,19
81,13.0485769717284,80.05739512408911,13.0549166,80.0581016,Highway_unknown,highway,,709.08,2
82,13.033535550742878,79.81030941110926,13.0333916,79.8103233,Highway_unknown,highway,,16.08,2
83,12.87360551472924,79.69565329151274,12.8737831,79.6956014,Highway_unknown,highway,,20.53,2
84,12.73764346399222,79.99617224807098,12.7411916,79.9906983,Highway_unknown,highway,,712.83,2
