cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.119915784519298,80.23385111274615,13.1211996,80.2334403,Highway_unknown,highway,,149.53,12
1,12.844305155325458,79.7001291386995,12.8440165,79.699769,Highway_unknown,highway,,50.54,19
2,12.930260633930027,80.11206183131985,12.92924,80.1127433,Highway_unknown,highway,,135.4,9
3,13.083339390277006,79.90821858853829,13.0826854,79.9084472,Highway_unknown,highway,,76.82,8
4,13.091606529477556,79.66148060567554,13.0911171,79.6600198,Highway_unknown,highway,,167.31,12
5,13.06808990531575,80.18069124371166,13.0688966,80.1803083,Highway_unknown,highway,,98.83,10
6,12.6791440011067,79.98153980350689,12.6796698,79.9807071,Highway_unknown,highway,,107.6,3
7,12.930820378030123,80.20606603259905,12.9316083,80.2032683,Highway_unknown,highway,,315.61,3
8,13.121142423641402,80.14741059688302,13.1218862,80.147705,Highway_unknown,highway,,88.64,46
9,12.952687024326393,79.9413032966572,12.9530501,79.9402999,Highway_unknown,highway,,115.99,14
10,13.33392405391016,79.89184593821577,13.3338332,79.8919677,Highway_unknown,highway,,16.6,6
11,13.279523644847766,80.2576080727841,13.2810533,80.2574833,Highway_unknown,highway,,170.63,5
13,13.030528754488158,80.20574357112837,13.02952,80.20874833333333,Highway_unknown,highway,,344.3,17
14,13.112892619775891,80.02775461678046,13.11272,80.02558833333333,Highway_unknown,highway,,235.38,4
15,13.111090672752844,80.10896560217057,13.1111001,80.1086807,Highway_unknown,highway,,30.87,22
16,13.052673136300356,80.27204086247164,13.053095,80.27213,Highway_unknown,highway,,47.89,14
17,12.862245878039484,80.07257776691014,12.8617366,80.0731283,Highway_unknown,highway,,82.27,12
18,13.124309457687884,80.28933752554389,13.1233133,80.2942266,Highway_unknown,highway,,540.9,19
19,13.03464738636739,80.13714337033801,13.037298333333334,80.13762333333334,Highway_unknown,highway,,299.32,13
20,12.980856804524624,80.20471795059755,12.980616,80.1987266,Highway_unknown,highway,,649.74,13
21,13.3000355608982,80.1629768604706,13.3026421,80.1619529,Highway_unknown,highway,,310.29,2
22,12.66649945514075,79.53960356711586,12.6666831,79.5399332,Highway_unknown,highway,,41.18,6
24,12.798371943032263,79.78437550709609,12.7984166,79.7843837,Highway_unknown,highway,,5.04,2
25,12.982485312371953,80.24129500813295,12.9813337,80.2411842,Highway_unknown,highway,,128.62,3
26,13.11779866130014,80.19912789985442,13.118278333333333,80.198425,Highway_unknown,highway,,92.95,17
27,13.135027438575031,79.92814027266522,13.13502,79.9281566,Highway_unknown,highway,,1.95,4
28,12.94199702157648,80.13963563233743,12.94278,80.1400616,Highway_unknown,highway,,98.54,14
29,13.059017775041598,80.22030996632826,13.0529433,80.2220449,Highway_unknown,highway,,701.11,11
30,13.19960052554982,80.17485337460221,13.2001686,80.1782417,Highway_unknown,highway,,372.21,9
31,13.016685847624425,80.00498331845182,13.0159485,80.0051689,Highway_unknown,highway,,84.42,4
32,12.92409566901971,79.56979046515433,12.9234827,79.5695209,Highway_unknown,highway,,74.16,7
33,13.175461273039858,80.30606885829215,13.1752183,80.3062566,Highway_unknown,highway,,33.81,8
34,12.975596445644255,80.13138148784599,12.9754633,80.1326133,Highway_unknown,highway,,134.29,27
36,12.810281480315108,80.0289897256098,12.8099866,80.02971,Highway_unknown,highway,,84.7,5
37,12.74971715,79.6753456,12.7495833,79.6754883,Highway_unknown,highway,,21.47,2
38,13.034180226759212,80.16182414192512,13.033565,80.16145166666666,Highway_unknown,highway,,79.42,33
39,13.089364761318434,80.26210839079295,13.088131666666667,80.26320666666666,Highway_unknown,highway,,181.52,16
40,13.181044209665057,79.61130286030958,13.1824616,79.6109899,Highway_unknown,highway,,161.21,9
41,12.909904164612204,80.14297388632417,12.9097466,80.14283,Highway_unknown,highway,,23.46,18
42,13.02991837835781,79.82771049523984,13.0299066,79.8276916,Highway_unknown,highway,,2.43,2
43,12.998459303016636,80.09637639654922,12.9984366,80.0965683,Highway_unknown,highway,,20.94,15
44,13.136579758401696,80.25787244324304,13.13634,80.25774,Highway_unknown,highway,,30.27,11
46,13.085072282969652,80.18867414484438,13.0855566,80.1883166,Highway_unknown,highway,,66.33,24
48,13.119739467873703,80.07795195418834,13.1193733,80.0779833,Highway_unknown,highway,,40.86,15
50,12.81928059236355,79.71805525757509,12.82023,79.71892166666666,Highway_unknown,highway,,141.31,6
51,13.147433287185413,80.20201862262448,13.146558333333331,80.202345,Highway_unknown,highway,,103.51,4
52,12.957715534782116,80.18563508864545,12.9574183,80.1869499,Highway_unknown,highway,,146.26,15
53,12.913783372678028,80.09291654775177,12.90895,80.09827,Highway_unknown,highway,,790.89,6
54,13.090760772952958,80.12439912932601,13.090948,80.124008,Highway_unknown,highway,,47.2,8
55,12.879106584797457,79.93662572086369,12.8790831,79.9366283,Highway_unknown,highway,,2.63,6
56,13.03210255084879,80.23894300109187,13.030531666666668,80.23070666666666,Highway_unknown,highway,,909.19,8
57,13.170618770203454,80.0939195155136,13.1666166,80.09835,Highway_unknown,highway,,654.33,7
58,13.05092428604723,80.11612947596198,13.051045,80.112675,Highway_unknown,highway,,374.44,19
59,13.08321590748526,80.161657372904,13.0832316,80.1616366,Highway_unknown,highway,,2.85,11
60,13.123940034089072,79.91225328911568,13.123883,79.9116802,Highway_unknown,highway,,62.38,21
61,13.09807706109808,80.21520679040556,13.0980366,80.2152816,Highway_unknown,highway,,9.27,12
62,13.044354651598145,80.19247447463395,13.0446216,80.1929083,Highway_unknown,highway,,55.58,29
64,13.152014599669048,80.06645729284163,13.152565,80.0667166,Highway_unknown,highway,,67.33,7
65,13.12807183826277,79.9889965403135,13.1275416,79.988835,Highway_unknown,highway,,61.5,2
66,13.097871805151314,80.23567582034232,13.0983328,80.2358055,Highway_unknown,highway,,53.15,26
67,13.148913733977292,80.23066232150632,13.1487166,80.2305316,Highway_unknown,highway,,26.09,7
68,13.056967520180654,80.06200704078495,13.0547633,80.0610416,Highway_unknown,highway,,266.48,8
69,12.76040363279712,80.00229434761589,12.7600633,80.0031583,Highway_unknown,highway,,101.05,3
70,12.822524404144003,79.70483235277595,12.8255498,79.7036504,Highway_unknown,highway,,359.99,9
71,12.92528042971728,79.88163202800706,12.9255998,79.879713,Highway_unknown,highway,,210.99,4
72,13.06254627268718,80.13737374977653,13.0631916,80.1382533,Highway_unknown,highway,,119.27,12
73,12.871183815886504,79.71116305462384,12.8711832,79.7111654,Highway_unknown,highway,,0.26,3
75,13.138965950316342,80.13743460481318,13.1305583,80.1365449,Highway_unknown,highway,,939.84,9
78,13.164935940878085,80.2468328298954,13.1647837,80.2450466,Highway_unknown,highway,,194.14,7
79,13.209178745316803,80.27262899490516,13.209435,80.2711,Highway_unknown,highway,,167.95,6
80,13.132766248189505,80.17055290727096,13.1321316,80.1706766,Highway_unknown,highway,,71.83,20
81,12.91734050769984,80.18604437229477,12.91903,80.1874183,Highway_unknown,highway,,239.72,10
82,13.086224217583084,80.17985824025332,13.0881333,80.1797294,Highway_unknown,highway,,212.74,19
83,13.248878045992129,80.15803170897277,13.2470381,80.1575565,Highway_unknown,highway,,210.96,4
84,13.090468713616556,80.10704075460474,13.090341,80.1084995,Highway_unknown,highway,,158.63,24
85,12.98209371846997,79.96813863583486,12.9818149,79.9682633,Highway_unknown,highway,,33.82,4
86,13.042083712108989,80.2266033714916,13.0467283,80.2262383,Highway_unknown,highway,,517.97,20
87,12.900443206704214,79.46008362133355,12.900865,79.4600666,Highway_unknown,highway,,46.94,2
88,13.128306096952196,80.21524711491078,13.128823333333331,80.21563166666667,Highway_unknown,highway,,71.01,23
89,13.07711562862626,80.24345255794091,13.0776966,80.2436266,Highway_unknown,highway,,67.3,7
90,12.983374520754609,80.18677502286428,12.9834666,80.1858533,Highway_unknown,highway,,100.39,18
91,13.073212696152664,79.67023614212819,13.073485,79.6714266,Highway_unknown,highway,,132.45,14
92,12.792286416352525,79.81919293502366,12.7929162,79.817748,Highway_unknown,highway,,171.62,6
93,13.099167082863982,80.19002767711372,13.100717,80.1891899,Highway_unknown,highway,,194.77,10
94,13.14878712765918,80.29864093893345,13.14884,80.2986833,Highway_unknown,highway,,7.46,15
95,12.965732135156632,80.19598056415745,12.9682133,80.189525,Highway_unknown,highway,,751.96,30
96,12.91990311992336,80.15225441826931,12.9197716,80.1522683,Highway_unknown,highway,,14.7,18
97,13.096780253575195,80.28999723915577,13.0960016,80.2928249,Highway_unknown,highway,,318.25,10
98,13.079011679675864,80.21297593691271,13.077183333333334,80.21161333333333,Highway_unknown,highway,,251.22,13
99,13.038340367577812,80.05177329789308,13.0383503,80.0517654,Highway_unknown,highway,,1.4,6
102,13.053087055366191,79.95889114060415,13.0529832,79.9590158,Highway_unknown,highway,,17.77,2
103,13.10955403321123,80.12974065148005,13.108929,80.130805,Highway_unknown,highway,,134.6,9
104,13.129894911968874,80.13299413838698,13.1307283,80.1329916,Highway_unknown,highway,,92.67,30
105,13.01926614773974,80.1463387581261,13.0207991,80.1443004,Highway_unknown,highway,,278.96,14
106,12.95372739281573,80.14267070571012,12.9539599,80.1420816,Highway_unknown,highway,,68.87,14
107,13.021844472635104,80.1796060947347,13.0228829,80.1802349,Highway_unknown,highway,,134.06,11
109,12.979334782273808,80.25814473407527,12.980485,80.25927666666666,Highway_unknown,highway,,177.2,9
110,13.118833688640205,80.0954103501762,13.1188616,80.0950883,Highway_unknown,highway,,35.01,30
111,13.051830947142811,80.2007812592662,13.05399,80.19971333333334,Highway_unknown,highway,,266.49,22
112,13.041447014381648,80.17091181805529,13.0404996,80.1714992,Highway_unknown,highway,,123.07,22
113,13.01863120001402,79.72813848047511,13.0168831,79.7272205,Highway_unknown,highway,,218.34,2
114,13.122128240938707,80.05364947715795,13.12217,80.0524583,Highway_unknown,highway,,129.08,5
115,13.319704389224963,80.18263036416393,13.3199703,80.1825904,Highway_unknown,highway,,29.88,4
116,12.989517627254427,80.20576549379166,12.994616,80.2063655,Highway_unknown,highway,,570.63,14
117,13.09882363485253,80.25275995205678,13.0994498,80.2514648,Highway_unknown,highway,,156.6,18
118,12.87360551472924,79.69565329151274,12.8737831,79.6956014,Highway_unknown,highway,,20.53,2
120,13.006180238044465,80.24646306087902,13.00648,80.24652333333333,Highway_unknown,highway,,33.97,8
122,13.10463688041378,79.90833194024327,13.110755,79.9104583,Highway_unknown,highway,,718.22,17
123,13.09581245455575,80.00561513133268,13.094408333333334,80.00644,Highway_unknown,highway,,179.88,5
124,13.053206340258118,80.23456270320013,13.0536675,80.2345657,Highway_unknown,highway,,51.28,13
125,12.994987012693652,80.2137437434451,12.9956507,80.2166938,Highway_unknown,highway,,328.04,7
127,13.061386710907538,80.1518382902389,13.0613672,80.1518344,Highway_unknown,highway,,2.21,10
128,13.09837357940097,79.86098761925305,13.0999076,79.8616266,Highway_unknown,highway,,184.08,2
129,13.129946016822707,80.23984635046533,13.1299583,80.2399283,Highway_unknown,highway,,8.98,11
130,12.951962573502543,80.20810080237538,12.9506716,80.210665,Highway_unknown,highway,,312.76,4
131,13.037028970765578,80.11241475717112,13.0368266,80.1125566,Highway_unknown,highway,,27.25,9
132,13.134471240334795,79.96337680938879,13.1326066,79.9627266,Highway_unknown,highway,,218.97,4
133,12.91760895301624,80.07647002672255,12.9179766,80.0758316,Highway_unknown,highway,,80.37,12
134,12.895027947606764,80.22867317610829,12.8966164,80.2276992,Highway_unknown,highway,,205.77,2
136,13.198354130126909,80.1525839637688,13.1961917,80.1555919,Highway_unknown,highway,,404.79,4
137,13.010549504710054,80.11936190423383,13.0101668,80.1194953,Highway_unknown,highway,,44.94,14
138,12.92420288202949,80.1263844006936,12.9229933,80.1265266,Highway_unknown,highway,,135.38,19
139,13.13000726496676,80.15797407788763,13.1301498,80.1579093,Highway_unknown,highway,,17.33,32
140,13.186637606520415,80.31078836897424,13.1852116,80.3102766,Highway_unknown,highway,,167.97,9
141,13.080328365194058,80.2291485265661,13.082668333333332,80.22705833333333,Highway_unknown,highway,,344.89,13
142,13.062548491406227,80.16771097000625,13.063063333333334,80.16713,Highway_unknown,highway,,85.07,19
143,13.100747618050946,80.15753520928186,13.1021833,80.1589393,Highway_unknown,highway,,220.47,9
144,13.11857708226436,80.21835733255416,13.12079,80.22399,Highway_unknown,highway,,657.74,18
145,13.07362066113564,80.12258952979886,13.073575,80.1231833,Highway_unknown,highway,,64.51,8
147,13.26704856715524,80.26568805625573,13.2667839,80.26515,Highway_unknown,highway,,65.25,2
148,12.817394362464558,79.73340963074124,12.8172326,79.734621,Highway_unknown,highway,,132.57,7
149,12.693585537182445,79.97786299399522,12.6943449,79.9785866,Highway_unknown,highway,,115.29,12
151,13.163202460164992,80.20250654790895,13.1632995,80.2026939,Highway_unknown,highway,,22.98,9
152,12.939814204601475,80.18272761808564,12.9398133,80.1827433,Highway_unknown,highway,,1.7,10
153,13.107502660211244,80.18345707977126,13.10774,80.183355,Highway_unknown,highway,,28.61,20
154,13.122044052611107,80.25890131645016,13.1222183,80.2592816,Highway_unknown,highway,,45.51,13
155,13.02131098340216,80.22259744832252,13.019786666666668,80.22449,Highway_unknown,highway,,266.02,8
156,13.10442845995778,80.20976137983959,13.102734,80.2093315,Highway_unknown,highway,,194.08,21
158,12.822170197459103,79.69765565213389,12.821635,79.6980783,Highway_unknown,highway,,75.11,18
159,13.059932671786084,80.21245814531873,13.0601334,80.2115631,Highway_unknown,highway,,99.49,25
160,13.09432418793221,80.20108434779746,13.094805,80.2010583,Highway_unknown,highway,,53.54,22
161,13.10371801635981,80.0555667861905,13.1038233,80.0527333,Highway_unknown,highway,,307.09,3
162,13.042099274007972,80.12531654358146,13.042046666666666,80.12529666666667,Highway_unknown,highway,,6.23,23
163,13.139984393264486,79.90624750966556,13.1404173,79.9065494,Highway_unknown,highway,,58.19,13
166,13.04034105797377,80.20285954540681,13.040043333333331,80.20503833333333,Highway_unknown,highway,,238.33,24
167,13.136556465815072,80.20602365279773,13.1377494,80.2075386,Highway_unknown,highway,,210.97,26
168,12.957632843864792,80.12604951018268,12.9575657,80.1261138,Highway_unknown,highway,,10.21,6
169,13.060373756310227,80.27451305424616,13.0601733,80.2743699,Highway_unknown,highway,,27.15,19
170,12.804430744951672,79.76691048445542,12.8045166,79.7673034,Highway_unknown,highway,,43.66,8
171,12.812967036146444,79.70647706521378,12.8103995,79.7066211,Highway_unknown,highway,,285.92,13
172,13.075723231810352,80.26888673617927,13.0755699,80.2688583,Highway_unknown,highway,,17.33,9
173,12.894083665826727,80.08079210329926,12.8937116,80.0809249,Highway_unknown,highway,,43.8,5
174,12.74196899703298,79.99039533411708,12.7413392,79.9907302,Highway_unknown,highway,,78.89,3
175,13.033420013246754,79.8534648489563,13.0333662,79.8533487,Highway_unknown,highway,,13.93,4
176,13.059070565331888,80.1940524053031,13.0586504,80.1947498,Highway_unknown,highway,,88.82,26
177,12.925450424239587,80.10209566619794,12.925615,80.1021666,Highway_unknown,highway,,19.85,10
178,13.144480362827824,80.19062619519377,13.1449883,80.188445,Highway_unknown,highway,,242.84,8
179,13.124345782190307,80.00312805947915,13.125096666666666,80.00303,Highway_unknown,highway,,84.17,9
180,13.100079254495965,80.13670075394612,13.101385,80.136642,Highway_unknown,highway,,145.33,14
181,13.125432713316028,80.04315226046663,13.1242418,80.0519275,Highway_unknown,highway,,959.46,7
182,13.112532159269191,79.94241815683482,13.1080166,79.9432266,Highway_unknown,highway,,509.68,3
183,13.027503173846098,80.15329694744113,13.0286169,80.1515007,Highway_unknown,highway,,230.66,14
184,13.044251135117529,80.18242232459446,13.0435168,80.1824188,Highway_unknown,highway,,81.66,22
186,13.00515405314598,80.25873604525793,13.005366666666667,80.25719833333333,Highway_unknown,highway,,168.27,3
188,13.146376948396645,80.24286181691657,13.1470334,80.2404594,Highway_unknown,highway,,270.18,12
