cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
17,13.027965415356451,80.2572624092999,13.006528333333334,80.25694333333334,Highway_unknown,highway,,2383.95,4
20,12.8351623,80.06708725,12.8431816,80.0588249,Highway_unknown,highway,,1263.93,2
25,13.124777853545964,79.92345147007177,13.1351149,79.9279083,Highway_unknown,highway,,1246.64,7
26,12.617288375905453,79.75971377567042,12.6382883,79.6529433,Highway_unknown,highway,,11818.14,5
27,13.111133531668928,79.42293978851373,12.9248083,79.370295,Highway_unknown,highway,,21489.1,3
32,12.805467627246582,80.22497909905618,12.8870332,80.2367305,Highway_unknown,highway,,9158.72,5
34,12.96428918699399,80.19876992679178,12.9682133,80.189525,Highway_unknown,highway,,1092.68,36
54,12.899698700000004,79.67613934288332,12.8745341,79.6776342,Highway_unknown,highway,,2802.86,3
66,13.342584199999996,80.22223615009766,13.3209431,80.1829242,Highway_unknown,highway,,4887.01,3
67,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,4
72,13.175072300000002,80.0199562,13.1517338,80.0555896,Highway_unknown,highway,,4649.72,3
79,13.01306987957339,80.174096126486,13.0228829,80.1802349,Highway_unknown,highway,,1277.86,5
82,13.208519861396034,79.7585809203351,13.2098329,79.8848342,Highway_unknown,highway,,13668.07,2
105,13.1380541,79.6614376,13.1286016,79.640745,Highway_unknown,highway,,2475.0,3
133,12.860580096189366,80.04165709173216,12.8436283,80.0592833,Highway_unknown,highway,,2684.1,4
134,13.031111619626811,80.27623951970472,13.0528433,80.2736216,Highway_unknown,highway,,2433.04,11
138,13.09001314241151,79.57020673426109,13.106145,79.6472516,Highway_unknown,highway,,8534.75,2
165,13.222544425042743,80.32400878112377,13.1927999,80.3136733,Highway_unknown,highway,,3491.56,2
169,13.040320128678108,80.24678698399143,13.0506816,80.25028,Highway_unknown,highway,,1212.69,9
170,13.409696339508743,80.11990132185073,13.3209431,80.1829242,Highway_unknown,highway,,11995.03,3
180,12.892280585751411,80.03475773871456,12.8935183,80.070385,Highway_unknown,highway,,3864.15,2
185,13.140916836118508,80.03777006037318,13.140368333333331,80.05320166666667,Highway_unknown,highway,,1672.1,3
208,12.988829521237236,79.6761165809449,13.0203175,79.677515,Highway_unknown,highway,,3504.58,3
217,13.018815948338757,80.24153131785417,13.007,80.23916833333334,Highway_unknown,highway,,1338.58,7
218,12.889065135012004,80.14019164239124,12.9067766,80.1427066,Highway_unknown,highway,,1988.2,5
229,13.337277324103042,80.19613205149452,13.3209431,80.1829242,Highway_unknown,highway,,2311.1,2
232,12.885375775739805,80.02195706372743,12.8927366,80.0704483,Highway_unknown,highway,,5319.47,5
235,12.99681748483144,80.26688525630107,12.997323333333334,80.25588333333333,Highway_unknown,highway,,1193.34,5
239,12.784923927516928,80.21870339189726,12.8870332,80.2367305,Highway_unknown,highway,,11521.02,4
240,13.1136920315984,80.21019081332305,13.1038999,80.2060031,Highway_unknown,highway,,1179.51,9
243,13.03983335377178,80.27460274904136,13.0528433,80.2736216,Highway_unknown,highway,,1450.54,11
248,13.047710691731837,80.16469997628191,13.038325,80.16496,Highway_unknown,highway,,1044.02,7
256,12.837831061228366,79.71681437970089,12.8385663,79.7069168,Highway_unknown,highway,,1076.16,9
261,13.079736853071742,80.14457201388424,13.0653834,80.1496791,Highway_unknown,highway,,1689.17,5
263,13.022503304668907,80.26339248283436,13.006485,80.25728333333333,Highway_unknown,highway,,1900.15,8
269,12.985151127112385,80.14479709393623,12.9717833,80.14142,Highway_unknown,highway,,1530.81,3
272,13.022334954839668,80.12612474418104,13.0115497,80.1269149,Highway_unknown,highway,,1202.32,8
277,13.025830986345737,80.0799272126047,13.028905,80.0903966,Highway_unknown,highway,,1184.57,2
278,12.975503552215828,80.20815283432087,12.980616,80.1987266,Highway_unknown,highway,,1168.92,11
304,12.893018456798146,80.16908651417535,12.90335,80.1585116,Highway_unknown,highway,,1622.83,3
309,13.20451367921832,80.3159128829151,13.1927999,80.3136733,Highway_unknown,highway,,1324.89,3
312,13.010605217753216,80.15254543036033,13.0204832,80.1439666,Highway_unknown,highway,,1438.84,2
323,13.032303421905905,80.2663540090282,13.0535016,80.268075,Highway_unknown,highway,,2364.49,9
329,13.069503089878816,80.25481952796238,13.0788066,80.2537916,Highway_unknown,highway,,1040.48,6
331,13.035122810615569,80.25433361791441,13.0506666,80.2504183,Highway_unknown,highway,,1779.67,6
