cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.999423443063757,80.26929811120768,13.000976666666666,80.25642666666667,Highway_unknown,highway,,1405.21,3
13,12.617288375905453,79.75971377567042,12.6382883,79.6529433,Highway_unknown,highway,,11818.14,5
17,12.961552420448962,80.19912761068962,12.9655049,80.1884783,Highway_unknown,highway,,1234.83,9
24,13.10895772229734,79.42440409027519,12.9248083,79.370295,Highway_unknown,highway,,21299.06,4
27,12.78462527919488,80.21722598649542,12.8870332,80.2367305,Highway_unknown,highway,,11581.92,2
56,12.891270063998457,80.16932419514613,12.90335,80.1585116,Highway_unknown,highway,,1782.63,3
57,13.176511354439343,80.02230991771056,13.1517338,80.0555896,Highway_unknown,highway,,4535.91,3
58,13.33861041670846,80.19235227682395,13.3209431,80.1829242,Highway_unknown,highway,,2213.58,4
64,13.1380541,79.6614376,13.1286016,79.640745,Highway_unknown,highway,,2475.0,3
70,12.716942328542949,79.75715753716207,12.7328166,79.6735416,Highway_unknown,highway,,9239.48,2
72,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,3
77,12.899698700000004,79.67613934288332,12.8745341,79.6776342,Highway_unknown,highway,,2802.86,3
86,13.027742467520945,80.27258318541087,13.0528433,80.2736216,Highway_unknown,highway,,2793.35,10
113,13.018667721982183,80.24148926812985,13.007,80.23916833333334,Highway_unknown,highway,,1321.53,6
120,12.89414487862712,80.03749810807184,12.8949333,80.0703566,Highway_unknown,highway,,3562.64,2
123,13.163661811385,79.85882338419003,13.1404316,79.8779773,Highway_unknown,highway,,3312.64,2
128,13.20451367921832,80.3159128829151,13.1927999,80.3136733,Highway_unknown,highway,,1324.89,3
157,12.8870919504932,80.02172418692939,12.8927366,80.0704483,Highway_unknown,highway,,5318.51,7
162,13.038245754737142,80.24874421516739,13.0506633,80.2503466,Highway_unknown,highway,,1391.64,12
165,13.09001314241151,79.57020673426109,13.106145,79.6472516,Highway_unknown,highway,,8534.75,2
169,13.342584199999996,80.22223615009766,13.3209431,80.1829242,Highway_unknown,highway,,4887.01,3
172,13.409696339508743,80.11990132185073,13.3209431,80.1829242,Highway_unknown,highway,,11995.03,3
178,13.0257006827416,80.25953762041712,13.006528333333334,80.25694333333334,Highway_unknown,highway,,2150.32,9
186,12.80110455,80.07784805,12.8315083,80.0465166,Highway_unknown,highway,,4792.67,2
217,12.9773355322763,80.05070993048493,12.9781433,80.08951,Highway_unknown,highway,,4205.13,2
221,12.80624728937215,80.22148066588016,12.8870332,80.2367305,Highway_unknown,highway,,9133.85,3
229,12.831577317697176,79.69228704301008,12.8395342,79.6985721,Highway_unknown,highway,,1116.74,8
240,13.076818065107249,80.14688908669773,13.0654001,80.1497364,Highway_unknown,highway,,1306.54,4
268,12.983617160704446,80.14336300024691,12.9728633,80.1383416,Highway_unknown,highway,,1313.74,4
272,13.025830986345737,80.0799272126047,13.028905,80.0903966,Highway_unknown,highway,,1184.57,2
276,12.8898224,80.13950875,12.9067766,80.1427066,Highway_unknown,highway,,1916.82,2
298,13.140916836118508,80.03777006037318,13.140368333333331,80.05320166666667,Highway_unknown,highway,,1672.1,3
308,13.092517695135296,80.07274458996582,13.0841483,80.0622066,Highway_unknown,highway,,1472.66,2
313,12.838163847950392,79.72147691687023,12.840383,79.7071981,Highway_unknown,highway,,1567.58,6
317,13.037915105669745,80.2770718755472,13.0528433,80.2736216,Highway_unknown,highway,,1701.5,9
320,13.038232789783534,80.26478063353919,13.0536916,80.2659749,Highway_unknown,highway,,1723.8,5
