cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
1,12.844894864014991,79.69910819913197,12.8442335,79.6990489,Highway_unknown,highway,,73.82,17
2,13.06536713676173,80.1121988920197,13.06535,80.1124668,Highway_unknown,highway,,29.08,6
3,12.938659933483976,80.14852404292775,12.9406016,80.1490716,Highway_unknown,highway,,223.91,19
4,13.108087595652847,80.18268017657049,13.1081175,80.1825904,Highway_unknown,highway,,10.28,23
5,12.890985421721544,80.08142303749389,12.8934916,80.082115,Highway_unknown,highway,,288.59,3
6,13.09246482950247,79.65893774756915,13.0925383,79.6595533,Highway_unknown,highway,,67.17,12
7,13.139755002256877,79.9074202751642,13.1396508,79.9073028,Highway_unknown,highway,,17.21,12
8,13.050614978257476,80.20729640439457,13.0492329,80.2079486,Highway_unknown,highway,,169.14,9
9,13.124057872042084,80.28937124904297,13.1229716,80.29414,Highway_unknown,highway,,530.35,20
10,13.111448186855505,80.10874230385222,13.1114172,80.1086521,Highway_unknown,highway,,10.36,22
11,13.129410865947094,80.21655062349468,13.1285766,80.216035,Highway_unknown,highway,,108.27,12
12,13.296861040457358,80.15207719020178,13.2980072,80.151844,Highway_unknown,highway,,129.92,3
14,12.922867205221747,79.56782168229034,12.923367,79.5680713,Highway_unknown,highway,,61.81,8
15,12.692900267461566,79.97816756826107,12.6931047,79.9794769,Highway_unknown,highway,,143.84,12
16,13.11206212841135,80.0294306691289,13.112255,80.025625,Highway_unknown,highway,,412.7,5
18,12.66358328871622,79.54038432336567,12.6646828,79.5404338,Highway_unknown,highway,,122.38,5
19,13.06783720602676,80.24146028969014,13.06561,80.24203,Highway_unknown,highway,,255.23,8
20,13.333884322884115,79.89151002861915,13.3338165,79.891715,Highway_unknown,highway,,23.42,8
21,13.07879862366313,80.18038448064968,13.079018333333334,80.18060333333334,Highway_unknown,highway,,34.04,41
22,13.211649312942336,80.27197587890772,13.211665,80.2714983,Highway_unknown,highway,,51.73,6
23,12.7936206903995,79.81861855991455,12.7937829,79.8178625,Highway_unknown,highway,,83.94,8
25,13.03340677687539,79.85344374518247,13.0333662,79.8533487,Highway_unknown,highway,,11.24,5
26,13.042088820464484,80.16974471868384,13.0404663,80.1714515,Highway_unknown,highway,,258.33,18
28,13.030699199505026,80.04303029779102,13.034515,80.0406333,Highway_unknown,highway,,497.45,4
29,12.977849207987791,80.13011853785434,12.9778299,80.1305499,Highway_unknown,highway,,46.79,25
30,13.190581780858082,80.1886418948283,13.1896799,80.1873866,Highway_unknown,highway,,168.9,8
31,13.121294427886664,80.14743288933289,13.1218862,80.147705,Highway_unknown,highway,,72.1,56
32,12.842500143202404,80.05814623824077,12.8424066,80.0579999,Highway_unknown,highway,,18.97,5
33,13.148819778067091,80.29865112713378,13.14884,80.2986833,Highway_unknown,highway,,4.15,13
34,13.035129152538127,80.13673801152542,13.037413333333332,80.13709166666666,Highway_unknown,highway,,256.86,12
