cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
1,14.6506981,121.0039373,13.1856533,80.317,Highway_unknown,highway,,4388630.93,11
2,22.478627326547883,70.06680424679396,13.1842466,79.6109783,Highway_unknown,highway,,1444163.61,11
3,17.446355500000003,78.57643800000001,13.3377003,79.9016475,Highway_unknown,highway,,478430.86,11
4,10.949081,76.13754270000001,12.6888316,79.2926416,Highway_unknown,highway,,394120.4,11
5,20.591434296444245,78.96193586242678,13.3377337,79.9018001,Highway_unknown,highway,,812734.74,11
6,9.9424686,78.07013340000002,12.488585,79.5957916,Highway_unknown,highway,,328389.88,11
7,11.103460999999998,79.78605170000002,12.4883933,79.5962033,Highway_unknown,highway,,155377.62,11
9,12.941698400000002,79.17117729999998,12.9124983,79.31952,Highway_unknown,highway,,16401.5,11
10,11.258870599999998,75.78563429999998,12.6888316,79.2926416,Highway_unknown,highway,,413275.23,11
11,12.6715646,79.28739529999999,12.688805,79.292665,Highway_unknown,highway,,2000.47,11
13,13.178152399999998,79.41296469999999,13.1825549,79.6107083,Highway_unknown,highway,,21414.45,11
14,12.94166584630546,79.2370547392859,12.9125383,79.3195299,Highway_unknown,highway,,9507.1,11
15,9.826919699999996,77.99039370000001,12.488585,79.5957916,Highway_unknown,highway,,343891.76,11
16,12.80236213822414,79.35390183747582,12.7933299,79.3101883,Highway_unknown,highway,,4845.21,11
18,12.9319995,79.13755210000001,12.9124983,79.31952,Highway_unknown,highway,,19840.33,22
20,12.853438799999996,79.3690831,12.8557883,79.3125566,Highway_unknown,highway,,6133.5,11
22,12.985091399999998,79.26558479999998,12.93196,79.3355533,Highway_unknown,highway,,9612.0,11
23,12.88843999094692,79.1411241719859,12.8684399,79.3133083,Highway_unknown,highway,,18796.41,11
26,12.962426396294482,79.13104998751818,12.9125383,79.3195299,Highway_unknown,highway,,21165.86,11
28,12.949445979472062,79.32154879947055,12.93196,79.3355533,Highway_unknown,highway,,2466.55,11
29,12.9300792,79.26185310000001,12.9125383,79.3195299,Highway_unknown,highway,,6548.2,11
30,12.9367973,79.18871149999998,12.9124983,79.31952,Highway_unknown,highway,,14431.92,11
32,12.9318021,79.22600290000001,12.9124983,79.31952,Highway_unknown,highway,,10360.08,11
35,12.5032705,79.6170475,12.5099166,79.6087483,Highway_unknown,highway,,1165.25,11
37,12.942790692786302,79.24839321586246,12.9125383,79.3195299,Highway_unknown,highway,,8411.48,11
41,12.9258108,79.12945160000001,12.9124983,79.31952,Highway_unknown,highway,,20652.77,11
43,12.94352124731903,79.18622649228293,12.9124983,79.31952,Highway_unknown,highway,,14852.03,11
46,12.938668070070298,79.1667669763609,12.9124983,79.31952,Highway_unknown,highway,,16808.78,11
48,12.943360000000002,79.32477440000001,12.93196,79.3355533,Highway_unknown,highway,,1723.77,11
54,12.93285404508524,79.13897905383496,12.9124983,79.31952,Highway_unknown,highway,,19697.27,10
57,12.94137186743177,79.18246117897891,12.9124983,79.31952,Highway_unknown,highway,,15197.01,10
58,12.93613113763829,79.16987499433094,12.9124983,79.31952,Highway_unknown,highway,,16429.74,11
63,12.936282299999998,79.36081190000002,12.9254766,79.3608633,Highway_unknown,highway,,1201.55,11
64,12.942477547309492,79.23439307530212,12.9125383,79.3195299,Highway_unknown,highway,,9809.05,11
75,12.93264394169463,79.1380750215079,12.9124983,79.31952,Highway_unknown,highway,,19791.95,11
81,12.932955576811052,79.13963042933972,12.9124983,79.31952,Highway_unknown,highway,,19628.44,11
89,12.9324523,79.1377447,12.9124983,79.31952,Highway_unknown,highway,,19825.13,11
94,12.933122795827062,79.13936427020987,12.9124983,79.31952,Highway_unknown,highway,,19659.25,11
100,12.932747230560018,79.13806952536802,12.9124983,79.31952,Highway_unknown,highway,,19793.84,11
101,12.932815065254571,79.13891531483978,12.9124983,79.31952,Highway_unknown,highway,,19703.63,11
