cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.907060593943358,79.3250865211477,12.9072199,79.325115,Highway_unknown,highway,,17.98,11
8,12.50720260457244,79.60565301690826,12.5072766,79.6055683,Highway_unknown,highway,,12.34,11
12,12.933610199883168,79.36270318762836,12.9254266,79.3624516,Highway_unknown,highway,,910.38,11
17,12.93242471755347,79.33441323207765,12.9318166,79.33547,Highway_unknown,highway,,133.0,11
19,12.922921400000002,79.37689239999999,12.922285,79.376515,Highway_unknown,highway,,81.73,11
21,12.82898034146885,79.30689104504279,12.8289299,79.306795,Highway_unknown,highway,,11.83,11
24,12.69818412601441,79.2971759665136,12.6980483,79.2970916,Highway_unknown,highway,,17.66,11
25,12.910856,79.4011921,12.911125,79.4013133,Highway_unknown,highway,,32.67,11
27,12.92551930538689,79.36245451006927,12.9254266,79.3624516,Highway_unknown,highway,,10.31,10
31,12.9255946,79.34980540000001,12.9264016,79.3500716,Highway_unknown,highway,,94.26,11
33,12.9224615,79.39160500000001,12.9169033,79.389965,Highway_unknown,highway,,643.09,11
34,12.690364305714052,79.29482125261602,12.690355,79.2948083,Highway_unknown,highway,,1.74,11
36,12.502396,79.60271079999998,12.5023899,79.6026716,Highway_unknown,highway,,4.31,11
38,12.923981408681971,79.37162864484422,12.9240333,79.3715783,Highway_unknown,highway,,7.94,11
39,12.925767000000002,79.33499670000002,12.9260833,79.3340766,Highway_unknown,highway,,105.74,11
40,12.905059599999998,79.3175083,12.9046916,79.3193366,Highway_unknown,highway,,202.34,11
42,12.89767532983754,79.32017038379986,12.89757,79.3201316,Highway_unknown,highway,,12.44,11
44,12.92556180464856,79.3564986550896,12.9255266,79.3564899,Highway_unknown,highway,,4.03,11
45,12.9171248304168,79.36993338345009,12.9122533,79.3691749,Highway_unknown,highway,,547.89,11
47,12.9175271,79.3588598,12.9140666,79.35813,Highway_unknown,highway,,392.84,11
49,12.9036483988651,79.32990884092975,12.9072349,79.3252666,Highway_unknown,highway,,642.03,11
50,12.925715799999995,79.3643566,12.9253383,79.3643516,Highway_unknown,highway,,41.98,28
51,12.92948202143526,79.33552853368323,12.9294066,79.3349816,Highway_unknown,highway,,59.86,10
52,12.4983733908428,79.59957296752921,12.4982399,79.6003183,Highway_unknown,highway,,82.26,11
53,12.922338099999996,79.3671213,12.92507,79.3675833,Highway_unknown,highway,,307.87,11
55,12.91906,79.3755172,12.92198,79.3770766,Highway_unknown,highway,,366.04,11
56,12.911231845728242,79.32594734812525,12.9111833,79.3259916,Highway_unknown,highway,,7.22,11
59,12.9082785,79.32168739999999,12.9069683,79.3221766,Highway_unknown,highway,,155.04,11
60,12.9357186,79.3328679,12.93196,79.3355533,Highway_unknown,highway,,509.28,11
61,12.904097000000002,79.32363099999999,12.9042449,79.3236233,Highway_unknown,highway,,16.47,11
62,12.928252433963042,79.3616141264458,12.9254716,79.3613783,Highway_unknown,highway,,310.27,11
65,12.92549534926758,79.35923199038292,12.9254983,79.3591666,Highway_unknown,highway,,7.09,11
66,12.925734900000002,79.3372263,12.9260833,79.3340766,Highway_unknown,highway,,343.55,11
67,12.93166675135012,79.33531547466714,12.9316366,79.3353633,Highway_unknown,highway,,6.17,11
68,12.93003285318207,79.33386325836182,12.9297866,79.3350633,Highway_unknown,highway,,132.91,11
69,12.68882481839873,79.29488162289002,12.6898083,79.2940983,Highway_unknown,highway,,138.49,10
70,12.92595444926735,79.36614259188094,12.9252266,79.366065,Highway_unknown,highway,,81.37,11
71,12.9079964,79.32493410000001,12.90785,79.325505,Highway_unknown,highway,,63.98,22
72,12.932550052816028,79.3637594194995,12.92539,79.3636216,Highway_unknown,highway,,796.3,11
73,12.90656793354598,79.3237841428796,12.9073666,79.32371,Highway_unknown,highway,,89.17,11
