cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
1,12.99270877532642,79.67158693308487,13.0203175,79.677515,Highway_unknown,highway,,3136.41,2
7,12.791091290031815,80.03225543227445,12.79745,80.021595,Highway_unknown,highway,,1355.05,3
9,13.01867542555236,80.24190521269692,13.007,80.23916833333334,Highway_unknown,highway,,1331.68,10
15,13.212013700836074,79.71282903658827,13.1855749,79.625195,Highway_unknown,highway,,9932.11,3
22,12.932055162936043,79.13753629292502,12.9124983,79.31952,Highway_unknown,highway,,19842.7,7
26,13.108154645381084,79.42725023725954,12.9248083,79.370295,Highway_unknown,highway,,21300.5,2
27,12.80547890827038,80.22495690745288,12.8870332,80.2367305,Highway_unknown,highway,,9157.81,6
43,13.33748563937428,80.19368771414237,13.3209431,80.1829242,Highway_unknown,highway,,2177.12,8
51,12.61700063192909,79.75973198175281,12.6382883,79.6529433,Highway_unknown,highway,,11826.44,7
52,12.860031440428736,80.04106476422844,12.8420083,80.0575316,Highway_unknown,highway,,2683.87,5
66,13.20155432347912,80.3159676358907,13.1927999,80.3136733,Highway_unknown,highway,,1004.64,7
75,12.890820706936712,80.13997540000199,12.9067766,80.1427066,Highway_unknown,highway,,1798.74,11
80,12.608548402002324,80.06603748099319,12.6767399,79.97873,Highway_unknown,highway,,12133.77,2
82,12.939698003743231,79.17753640699227,12.9124983,79.31952,Highway_unknown,highway,,15682.19,2
84,13.09485382924959,79.5211736510319,13.157745,79.6209716,Highway_unknown,highway,,12872.36,4
95,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,4
97,12.840416059872448,80.13971351560329,12.9043883,80.1502816,Highway_unknown,highway,,7205.04,2
99,13.174852787907025,80.0242409425874,13.1517338,80.0555896,Highway_unknown,highway,,4257.85,5
100,13.413372474992244,80.11330453516312,13.3209431,80.1829242,Highway_unknown,highway,,12741.9,2
102,13.02801125500823,80.27212160634005,13.0528433,80.2736216,Highway_unknown,highway,,2765.97,19
111,13.026701991831132,80.05398206935186,13.0377995,80.0503349,Highway_unknown,highway,,1295.7,5
112,12.938648497871652,79.23248357152934,12.9125383,79.3195299,Highway_unknown,highway,,9870.51,2
116,12.71694232854295,79.75715753716207,12.7328166,79.6735416,Highway_unknown,highway,,9239.48,2
118,13.19944760430219,79.78745872974629,13.2098329,79.8848342,Highway_unknown,highway,,10604.44,2
119,12.899698700000004,79.67544411430666,12.8745341,79.6776342,Highway_unknown,highway,,2808.23,4
126,12.886993393553924,80.02290156371394,12.8927366,80.0704483,Highway_unknown,highway,,5193.14,12
128,12.94917325,80.04211194999999,12.9352016,80.08167,Highway_unknown,highway,,4559.74,2
139,13.014807634653389,80.17217146064301,13.02419,80.17779333333333,Highway_unknown,highway,,1208.04,9
142,13.115653169315362,80.282334159957,13.1145099,80.2924533,Highway_unknown,highway,,1103.2,37
150,13.083398639349896,79.56853265937491,13.106145,79.6472516,Highway_unknown,highway,,8892.81,2
151,13.122267107039912,79.93165536830453,13.1339166,79.9338383,Highway_unknown,highway,,1316.76,5
154,12.784923927516928,80.21870339189726,12.8870332,80.2367305,Highway_unknown,highway,,11521.02,4
155,13.10965970953172,80.07940359353005,13.1189835,80.0812149,Highway_unknown,highway,,1055.15,2
163,13.341112806898543,80.21982927311932,13.3209431,80.1829242,Highway_unknown,highway,,4579.81,5
166,13.038635917954783,80.25008419350686,13.0506633,80.2503466,Highway_unknown,highway,,1337.69,16
175,13.1380541,79.6614376,13.1286016,79.640745,Highway_unknown,highway,,2475.0,3
179,12.893125337722587,80.16688672183228,12.90335,80.1585116,Highway_unknown,highway,,1454.88,4
185,12.99976720826665,80.26634126511264,13.000976666666666,80.25642666666667,Highway_unknown,highway,,1082.58,15
186,12.9498805591874,79.81688336803737,12.9069161,79.8293018,Highway_unknown,highway,,4963.38,2
192,13.02641271945173,80.25964143411808,13.006528333333334,80.25694333333334,Highway_unknown,highway,,2230.28,18
203,13.128503744731375,80.04151994654055,13.124556666666669,80.03167833333333,Highway_unknown,highway,,1152.58,12
204,13.038802818485582,80.27266229594763,13.0528533,80.2734483,Highway_unknown,highway,,1564.66,25
210,13.163661811385,79.85882338419003,13.1404316,79.8779773,Highway_unknown,highway,,3312.64,2
215,13.088431217542349,80.07211710670671,13.0825161,80.0636386,Highway_unknown,highway,,1129.54,3
217,12.83712896377937,79.71880649495469,12.8378665,79.7068881,Highway_unknown,highway,,1294.74,15
225,12.97578744672703,80.05229014200646,12.975225,80.0894883,Highway_unknown,highway,,4031.12,3
228,13.221365387521372,80.32404626556189,13.1927999,80.3136733,Highway_unknown,highway,,3368.98,3
229,13.208519861396038,79.7585809203351,13.2098329,79.8848342,Highway_unknown,highway,,13668.07,2
242,12.885178107251424,80.11250490905724,12.89954,80.0913516,Highway_unknown,highway,,2794.18,2
248,13.23867995,80.2051898,13.2244467,80.1666164,Highway_unknown,highway,,4465.2,2
260,13.153186889207277,79.91370816350805,13.1402838,79.9070119,Highway_unknown,highway,,1607.56,4
265,12.9417703,80.069356,12.9373083,80.0824733,Highway_unknown,highway,,1505.64,2
272,13.139961980690932,80.13729706402012,13.1305583,80.1365449,Highway_unknown,highway,,1048.81,12
290,13.0086519,79.84087869999999,13.0308949,79.8303983,Highway_unknown,highway,,2721.47,2
298,12.982998333354898,80.14338452702846,12.97281,80.13846,Highway_unknown,highway,,1252.26,11
300,13.080390721064576,80.14383060107734,13.0666633,80.1364083,Highway_unknown,highway,,1725.18,10
310,13.083671457963735,79.62510960217016,13.0810999,79.6548318,Highway_unknown,highway,,3231.85,2
315,13.04746924855114,80.13663359838046,13.039223333333334,80.132755,Highway_unknown,highway,,1008.58,11
