cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
6,14.6506981,121.0039373,13.1856533,80.317,Highway_unknown,highway,,4388630.93,1
7,22.478627326547883,70.06680424679398,13.1842466,79.6109783,Highway_unknown,highway,,1444163.61,1
16,12.83393190757768,79.6892181229385,12.8395998,79.6985149,Highway_unknown,highway,,1188.74,1
47,20.59143429644423,78.96193586242677,13.3377337,79.9018001,Highway_unknown,highway,,812734.74,1
48,9.974016142545036,78.1385021163,12.488585,79.5957916,Highway_unknown,highway,,321617.08,1
49,12.899200885751412,80.03322057204788,12.8984883,80.0702816,Highway_unknown,highway,,4017.79,3
50,13.09485382924959,79.5211736510319,13.157745,79.6209716,Highway_unknown,highway,,12872.36,5
51,10.949081,76.1375427,12.6888316,79.2926416,Highway_unknown,highway,,394120.4,1
55,17.4463555,78.576438,13.3377003,79.9016475,Highway_unknown,highway,,478430.86,1
56,12.9300792,79.2618531,12.9125383,79.3195299,Highway_unknown,highway,,6548.2,1
58,11.103461,79.7860517,12.4883933,79.5962033,Highway_unknown,highway,,155377.62,1
62,13.085121481989496,79.64491367340088,13.0828166,79.654951,Highway_unknown,highway,,1116.93,1
63,13.09656586747258,79.67562649216913,13.0849966,79.6659699,Highway_unknown,highway,,1657.94,1
71,12.254200397519943,79.08370912898556,12.688805,79.292665,Highway_unknown,highway,,53385.98,2
72,12.608548402002324,80.06603748099319,12.6767399,79.97873,Highway_unknown,highway,,12133.77,2
73,13.026524993063171,80.25936420839616,13.006528333333334,80.25694333333334,Highway_unknown,highway,,2238.94,22
77,12.8108430929927,80.20120582632963,12.8870332,80.2367305,Highway_unknown,highway,,9306.24,3
95,11.2588706,75.7856343,12.6888316,79.2926416,Highway_unknown,highway,,413275.23,1
98,13.1808552,79.59405439999999,13.1825549,79.6107083,Highway_unknown,highway,,1812.92,1
100,13.174350246753292,79.59497256532325,13.1825549,79.6107083,Highway_unknown,highway,,1932.55,1
101,12.939698003743231,79.17753640699227,12.9124983,79.31952,Highway_unknown,highway,,15682.19,6
104,13.208519861396038,79.7585809203351,13.2098329,79.8848342,Highway_unknown,highway,,13668.07,2
108,13.028637233136015,80.08045213082205,13.0320799,80.0892233,Highway_unknown,highway,,1024.41,1
109,13.023024739555453,80.07940229438735,13.0274416,80.0909783,Highway_unknown,highway,,1346.82,1
110,13.3425842,80.2217326100586,13.3209431,80.1829242,Highway_unknown,highway,,4839.66,5
112,12.860031440428736,80.04106476422844,12.8420083,80.0575316,Highway_unknown,highway,,2683.87,6
117,12.8652835,80.0581716,12.8570099,80.06982,Highway_unknown,highway,,1562.34,1
119,12.828105518020736,80.53465076454391,12.9012166,80.2486515,Highway_unknown,highway,,32051.54,1
121,12.904040549190569,80.18990639624988,12.9172933,80.1908466,Highway_unknown,highway,,1477.16,1
125,12.98856093568252,79.99643896149887,12.9943168,79.9882364,Highway_unknown,highway,,1095.21,1
127,12.9452633,78.8762176,12.8737583,79.3141683,Highway_unknown,highway,,48128.32,1
130,13.111385,79.9835195,13.0979583,79.9830283,Highway_unknown,highway,,1493.93,1
134,12.8560913,79.6216288,12.8744266,79.6203899,Highway_unknown,highway,,2043.21,1
136,12.517706869702906,79.77091638734254,12.552465,79.617925,Highway_unknown,highway,,17050.19,1
137,12.5519421,79.77363059999999,12.6373149,79.652495,Highway_unknown,highway,,16214.9,1
141,13.174852787907025,80.0242409425874,13.1517338,80.0555896,Highway_unknown,highway,,4257.85,8
143,13.42440088144274,80.0935141751003,13.3209431,80.1829242,Highway_unknown,highway,,15029.85,1
151,12.890118753624147,80.13973831538677,12.9067766,80.1427066,Highway_unknown,highway,,1880.0,13
157,12.80236213822414,79.3539018374758,12.7933299,79.3101883,Highway_unknown,highway,,4845.21,1
159,9.826919699999998,77.9903937,12.488585,79.5957916,Highway_unknown,highway,,343891.76,1
165,12.883672101942455,79.45386860641784,12.9002583,79.4534933,Highway_unknown,highway,,1844.75,1
166,12.936048014025118,79.46514663850839,12.9012616,79.4655466,Highway_unknown,highway,,3868.32,1
170,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,4
171,13.103889161398602,79.43282919640883,12.9248083,79.370295,Highway_unknown,highway,,21033.83,4
177,12.695758551335034,80.08197956568915,12.686215,79.9834883,Highway_unknown,highway,,10736.74,2
178,12.97578744672703,80.05229014200646,12.975225,80.0894883,Highway_unknown,highway,,4031.12,4
179,12.985276969199122,80.06660274801864,12.9864716,80.0891166,Highway_unknown,highway,,2443.02,1
180,13.036045710618149,80.2774268520536,13.0528433,80.2736216,Highway_unknown,highway,,1912.75,16
185,12.5089244,79.88473549999999,12.67638,79.978025,Highway_unknown,highway,,21194.42,1
186,13.0931484,79.7611911,13.0281162,79.7997379,Highway_unknown,highway,,8350.11,1
203,12.4982208,80.082302,12.6767216,79.978705,Highway_unknown,highway,,22811.27,1
204,12.8329657,80.07292605,12.8446533,80.0604266,Highway_unknown,highway,,1877.59,4
206,13.0879699,79.689499,13.0763995,79.6701955,Highway_unknown,highway,,2454.89,1
209,13.094109918655803,79.88157554523796,13.1023466,79.8631525,Highway_unknown,highway,,2195.42,1
210,13.0996917,79.84087869999999,13.0922484,79.8581933,Highway_unknown,highway,,2049.75,1
211,12.8385052,80.1351312,12.8621816,80.0736816,Highway_unknown,highway,,7163.1,3
212,12.899698700000004,79.67544411430666,12.8745341,79.6776342,Highway_unknown,highway,,2808.23,5
219,12.885292760368907,80.01929752609246,12.8927366,80.0704483,Highway_unknown,highway,,5605.84,19
220,12.8893645,79.9949703,12.8765296,79.9374532,Highway_unknown,highway,,6395.88,1
221,12.9498805591874,79.81688336803737,12.9069161,79.8293018,Highway_unknown,highway,,4963.38,2
224,13.038635917954783,80.25008419350686,13.0506633,80.2503466,Highway_unknown,highway,,1337.69,19
228,13.090319474187371,79.56965792421863,13.106145,79.6472516,Highway_unknown,highway,,8585.81,4
230,13.0631681839796,80.01980470456752,13.07306,80.031335,Highway_unknown,highway,,1664.21,3
233,13.002125110026194,79.67474340688999,13.0203175,79.677515,Highway_unknown,highway,,2045.07,2
236,12.71694232854295,79.75715753716207,12.7328166,79.6735416,Highway_unknown,highway,,9239.48,2
241,13.014943465045956,79.86713336457423,13.0255341,79.8726797,Highway_unknown,highway,,1322.06,1
246,13.324175108717167,80.06406422277675,13.2970082,80.1477432,Highway_unknown,highway,,9545.33,1
248,13.1380541,79.6614376,13.1286016,79.640745,Highway_unknown,highway,,2475.0,3
253,13.145359723689294,79.96599706082654,13.1326533,79.9625933,Highway_unknown,highway,,1460.17,1
255,12.7266969,80.0033609,12.7365133,79.9871533,Highway_unknown,highway,,2069.21,1
257,13.44493723529331,80.00301559586737,13.3377337,79.9018192,Highway_unknown,highway,,16184.12,1
258,12.893125337722587,80.16688672183228,12.90335,80.1585116,Highway_unknown,highway,,1454.88,11
259,13.20155432347912,80.3159676358907,13.1927999,80.3136733,Highway_unknown,highway,,1004.64,7
261,13.3434102,80.1895547,13.3209431,80.1829242,Highway_unknown,highway,,2599.2,1
263,13.1962851,80.2044178,13.1839133,80.1935116,Highway_unknown,highway,,1812.9,1
266,13.225742810168438,79.9854505083594,13.2480001,79.9017333,Highway_unknown,highway,,9393.5,2
270,13.129816041839378,80.2715431759852,13.129431666666669,80.25895166666666,Highway_unknown,highway,,1364.18,1
279,12.834436364611292,79.72003583271804,12.837367,79.7068166,Highway_unknown,highway,,1469.76,24
285,12.963644378756143,79.30380232055968,12.93196,79.3355533,Highway_unknown,highway,,4924.58,2
286,13.115653169315362,80.282334159957,13.1145099,80.2924533,Highway_unknown,highway,,1103.2,40
292,12.784923927516928,80.21870339189726,12.8870332,80.2367305,Highway_unknown,highway,,11521.02,5
293,9.9424686,78.0701334,12.488585,79.5957916,Highway_unknown,highway,,328389.88,1
295,12.661221165988056,79.96723611730913,12.67638,79.978025,Highway_unknown,highway,,2052.12,1
298,13.200464523525708,80.14144278592521,13.1929373,80.1531314,Highway_unknown,highway,,1517.16,1
301,12.8352078,79.6868726,12.8395998,79.6985149,Highway_unknown,highway,,1353.39,1
302,12.8574023,79.6799762,12.8556335,79.6931982,Highway_unknown,highway,,1446.79,1
303,12.88843999094692,79.1411241719859,12.8684399,79.3133083,Highway_unknown,highway,,18796.41,1
305,13.212013700836074,79.71282903658827,13.1855749,79.625195,Highway_unknown,highway,,9932.11,3
309,12.963507865627289,79.14151741164757,12.9125383,79.3195299,Highway_unknown,highway,,20106.86,3
310,13.275656287256515,80.21022338759292,13.2824158,80.2515316,Highway_unknown,highway,,4533.2,1
314,13.053678443056508,80.17513587273609,13.0642664,80.1714611,Highway_unknown,highway,,1242.8,20
319,13.1998457057756,80.08745495716143,13.177154,80.0872611,Highway_unknown,highway,,2523.29,1
321,13.217438792256033,80.08216039041017,13.177154,80.0872611,Highway_unknown,highway,,4513.37,1
323,13.1524589,79.8210948,13.135147,79.8739385,Highway_unknown,highway,,6037.14,1
326,13.1411261423892,80.13574210875656,13.13077,80.1349583,Highway_unknown,highway,,1154.67,13
327,13.1781524,79.4129647,13.1825549,79.6107083,Highway_unknown,highway,,21414.45,1
328,13.079381776120432,79.61101978720015,13.0785,79.6547174,Highway_unknown,highway,,4733.92,2
329,13.083531974328912,79.59643695953622,13.1059933,79.6473133,Highway_unknown,highway,,6049.71,1
330,13.064940590345776,79.60578727212418,13.0767616,79.6547799,Highway_unknown,highway,,5466.96,1
331,13.084086615927468,79.63193280434031,13.0828166,79.654951,Highway_unknown,highway,,2497.06,1
333,13.229600318609712,79.57907935781051,13.1842466,79.6109783,Highway_unknown,highway,,6112.07,1
345,12.882136047589963,80.06271558305261,12.8892066,80.0718066,Highway_unknown,highway,,1260.62,1
350,12.939684046600313,79.23646098261261,12.9125383,79.3195299,Highway_unknown,highway,,9495.32,4
351,13.014408306062338,80.17025672765418,13.024891666666669,80.176485,Highway_unknown,highway,,1346.9,11
361,12.737091252232968,80.18598456699746,12.8870332,80.2367305,Highway_unknown,highway,,17557.22,1
362,12.8534388,79.3690831,12.8557883,79.3125566,Highway_unknown,highway,,6133.5,1
364,12.99976720826665,80.26634126511264,13.000976666666666,80.25642666666667,Highway_unknown,highway,,1082.58,18
367,13.1305392,79.76889925,13.0910325,79.8576259,Highway_unknown,highway,,10565.35,2
368,13.363798041572574,80.13985807868977,13.3209431,80.1829242,Highway_unknown,highway,,6664.71,1
381,12.842043069744896,80.1614411812066,12.903345,80.1584816,Highway_unknown,highway,,6824.01,2
382,13.3864454865324,80.21835189409516,13.3209431,80.1829242,Highway_unknown,highway,,8230.48,1
383,13.409696339508749,80.11990132185073,13.3209431,80.1829242,Highway_unknown,highway,,11995.03,3
385,12.885178107251424,80.11250490905724,12.89954,80.0913516,Highway_unknown,highway,,2794.18,3
386,12.8706793,80.11015189999999,12.8820266,80.0813183,Highway_unknown,highway,,3370.6,1
389,13.040934219876114,80.26908426002751,13.0533683,80.2696699,Highway_unknown,highway,,1384.06,22
393,12.999498424181198,79.84457403804528,13.0312502,79.8562145,Highway_unknown,highway,,3749.1,2
394,12.981191472543593,79.85196471413583,13.0255341,79.8726797,Highway_unknown,highway,,5417.43,1
398,12.80547890827038,80.22495690745288,12.8870332,80.2367305,Highway_unknown,highway,,9157.81,6
400,13.23867995,80.2051898,13.2244467,80.1666164,Highway_unknown,highway,,4465.2,2
403,12.982998333354898,80.14338452702846,12.97281,80.13846,Highway_unknown,highway,,1252.26,12
407,13.0224769,79.61652099999999,12.9781508,79.6154642,Highway_unknown,highway,,4930.17,1
420,13.163661811385,79.85882338419003,13.1404316,79.8779773,Highway_unknown,highway,,3312.64,2
421,13.128503744731375,80.04151994654055,13.124556666666669,80.03167833333333,Highway_unknown,highway,,1152.58,15
422,13.146847714087002,80.0355344282488,13.1453013,80.0537395,Highway_unknown,highway,,1978.75,1
424,13.01867542555236,80.24190521269692,13.007,80.23916833333334,Highway_unknown,highway,,1331.68,10
426,12.80110455,80.07784805,12.8315083,80.0465166,Highway_unknown,highway,,4792.67,2
427,13.3273413,79.9281897,13.3366501,79.901762,Highway_unknown,highway,,3041.01,1
433,13.176848244693684,79.94797285497678,13.1340349,79.9492833,Highway_unknown,highway,,4762.74,1
435,13.168681213040175,80.14287390510142,13.178215,80.141735,Highway_unknown,highway,,1067.26,4
438,12.9417703,80.069356,12.9373083,80.0824733,Highway_unknown,highway,,1505.64,2
446,13.19944760430219,79.78745872974629,13.2098329,79.8848342,Highway_unknown,highway,,10604.44,2
458,12.9562218,79.9867854,12.983967,79.9737167,Highway_unknown,highway,,3394.6,1
465,13.221365387521372,80.32404626556189,13.1927999,80.3136733,Highway_unknown,highway,,3368.98,4
468,13.080390721064576,80.14383060107734,13.0666633,80.1364083,Highway_unknown,highway,,1725.18,12
469,13.232902817752263,80.12738940288604,13.2470381,80.1575565,Highway_unknown,highway,,3623.87,1
472,12.9850914,79.2655848,12.93196,79.3355533,Highway_unknown,highway,,9612.0,1
478,13.0666691,79.8675329,13.0909919,79.8576593,Highway_unknown,highway,,2908.33,1
482,13.046155355738902,80.15050376510587,13.036445,80.15097,Highway_unknown,highway,,1080.92,12
487,12.872776923204905,80.19851537352253,12.8966164,80.2276325,Highway_unknown,highway,,4121.68,1
488,12.7588793,79.70072110000001,12.7651433,79.678285,Highway_unknown,highway,,2530.88,2
489,13.022849517044945,80.12603194908567,13.0115497,80.1269149,Highway_unknown,highway,,1260.12,15
490,13.027116110104936,80.27105741355676,13.006485,80.25728333333333,Highway_unknown,highway,,2736.71,17
491,13.090894300881384,80.07625339679879,13.0816006,80.0643444,Highway_unknown,highway,,1652.76,4
494,13.153186889207277,79.91370816350805,13.1402838,79.9070119,Highway_unknown,highway,,1607.56,5
