cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.120292837341175,80.02835532938542,13.11977,80.02923,Highway_unknown,highway,,111.14,21
1,13.125528515056136,80.02012917518603,13.124995,80.01963166666667,Highway_unknown,highway,,80.14,1
2,13.1032407,80.0267692,13.100913333333333,80.02358166666667,Highway_unknown,highway,,431.44,1
3,13.126202443163915,80.02106707271308,13.12492,80.02052666666667,Highway_unknown,highway,,154.14,1
4,13.1053439,80.0313891,13.108541666666667,80.023145,Highway_unknown,highway,,961.02,1
5,13.1285421,80.0265741,13.1245,80.02580833333333,Highway_unknown,highway,,457.05,1
8,12.83650838862562,79.7028386248658,12.8363502,79.7039794,Highway_unknown,highway,,124.92,49
9,12.836774856527072,79.70645017215541,12.8367495,79.706521,Highway_unknown,highway,,8.18,1
10,12.835703652676887,79.70514721083374,12.8367161,79.7055959,Highway_unknown,highway,,122.64,1
11,12.8365737,79.705455,12.8367161,79.7055959,Highway_unknown,highway,,22.0,1
12,12.8342269,79.7084541,12.8366827,79.7065973,Highway_unknown,highway,,339.25,1
13,12.8301941,79.7012218,12.8302502,79.7034311,Highway_unknown,highway,,239.61,1
14,12.8302487,79.7036408,12.8302836,79.7035694,Highway_unknown,highway,,8.66,1
15,12.830153401473185,79.7035713023807,12.8301433,79.703585,Highway_unknown,highway,,1.86,1
17,12.8372626,79.6985977,12.8393673,79.6988964,Highway_unknown,highway,,236.26,1
18,12.837261511668755,79.70708464703849,12.837367,79.7068166,Highway_unknown,highway,,31.34,1
19,12.8374724,79.70306529999999,12.837733,79.703269,Highway_unknown,highway,,36.43,1
20,12.832940219570215,79.70514335499729,12.8330337,79.7034835,Highway_unknown,highway,,180.26,1
21,12.8320059,79.6952388,12.8323783,79.7033916,Highway_unknown,highway,,884.88,1
22,12.832842911510555,79.69456491774788,12.8395342,79.6985721,Highway_unknown,highway,,861.59,1
23,12.830039336819766,79.70359911195634,12.8299999,79.7035949,Highway_unknown,highway,,4.41,1
24,12.831537519995894,79.69836708263982,12.831571666666669,79.703435,Highway_unknown,highway,,549.47,1
25,12.839414096337896,79.70610613085765,12.8392233,79.7069083,Highway_unknown,highway,,89.52,1
26,12.832109118247818,79.69450439358401,12.8394341,79.6987533,Highway_unknown,highway,,935.74,1
27,12.83189642076691,79.70864947472195,12.829526666666666,79.70559666666666,Highway_unknown,highway,,423.06,1
28,12.83012291707745,79.70359438777848,12.8301433,79.703585,Highway_unknown,highway,,2.48,1
29,12.837555196324027,79.70350317836593,12.8375506,79.703536,Highway_unknown,highway,,3.59,1
30,12.832150304241331,79.6937585098103,12.8395342,79.6985721,Highway_unknown,highway,,972.87,1
31,12.837437593225642,79.703771364845,12.837466,79.7037363,Highway_unknown,highway,,4.94,1
32,12.8382534,79.7089682,12.8385663,79.7069168,Highway_unknown,highway,,225.11,1
33,12.8372632,79.7038469,12.837367,79.7039508,Highway_unknown,highway,,16.13,1
34,12.8372632,79.7038469,12.837367,79.7039508,Highway_unknown,highway,,16.13,1
35,12.8393402,79.7070027,12.8393161,79.7069692,Highway_unknown,highway,,4.51,1
36,12.8371959,79.7038472,12.837367,79.7039508,Highway_unknown,highway,,22.09,1
37,12.8371959,79.7038472,12.837367,79.7039508,Highway_unknown,highway,,22.09,1
38,12.8386228,79.6947023,12.8395998,79.6985149,Highway_unknown,highway,,427.38,1
39,12.832858919526585,79.70338581600383,12.8328168,79.7034692,Highway_unknown,highway,,10.18,1
40,12.83880422858708,79.70115953209492,12.8387999,79.7011661,Highway_unknown,highway,,0.86,1
41,12.837546271136771,79.70357856534515,12.8375661,79.703598,Highway_unknown,highway,,3.05,1
42,12.840502345073917,79.70716455037972,12.8405666,79.7071313,Highway_unknown,highway,,8.0,1
43,12.83468661884094,79.70403526071136,12.8347466,79.7038083,Highway_unknown,highway,,25.49,1
44,12.837326546326208,79.70399258930836,12.837367,79.7039508,Highway_unknown,highway,,6.38,1
45,12.8391939,79.70021679999999,12.8390836,79.7002506,Highway_unknown,highway,,12.8,1
46,13.073945870114091,80.207815252803,13.0766832,80.2086448,Highway_unknown,highway,,317.36,57
52,12.951334744103724,80.13447214586387,12.948685,80.1381299,Highway_unknown,highway,,493.89,6
53,13.102335299282412,80.13455742828286,13.102163,80.134422,Highway_unknown,highway,,24.13,37
54,13.157665314302363,80.20087485024172,13.1584416,80.2011983,Highway_unknown,highway,,93.15,28
57,13.140572540800132,79.90547337444065,13.1406998,79.9056482,Highway_unknown,highway,,23.63,26
59,13.031250517192976,80.1870199799117,13.0376933,80.1928716,Highway_unknown,highway,,956.59,15
60,13.167280267619972,80.302127542924,13.1667483,80.3039833,Highway_unknown,highway,,209.45,38
61,13.09415274772079,79.65933413195009,13.094033,79.6591663,Highway_unknown,highway,,22.53,60
64,12.982057660541876,80.24038022920793,12.981317,80.2402305,Highway_unknown,highway,,83.94,6
65,13.049151848206945,80.12173541316565,13.049445,80.12128833333334,Highway_unknown,highway,,58.38,21
66,13.120821215789146,80.25960869675119,13.120665,80.25937833333333,Highway_unknown,highway,,30.4,27
