user,bus_no,boarding_point_name,pincode,latitude,longitude,address
3092,15D,Ayapakkam church (water tank),600077,13.090847377383325,80.1465796863083,"101/36, Pugazhendhi St, Chelliamma Nagar, Chennai, Tamil Nadu 600058, India"
5306,20,"Jeyachandran Textiles, Pallikaranai ",600100,12.911457573238785,80.19777182635039,"4/217, Jalladiampet, Medavakkam, Chennai, Tamil Nadu 600100, India"
861,29C,"Aavin Junction, Alwarthirunagar ",600087,13.0413135,80.1866363,"1-C, 1st Cross St, Gandhi Nagar, Lambert Nagar, Nesapakkam, Chennai, Tamil Nadu 600092, India"
4136,19B,Varadharaja Theatre ,600064,12.938027789940609,80.13865684023393,"27/1, Jothi Nagar, Chitlapakkam, Chennai, Tamil Nadu 600064, India"
1250,20,Pallikaranai Jayachandran,600100,12.9118082,80.2022837,"Block-B5, INDIA BULLS GREENS, VGP Prabhu Nagar, Medavakkam, Chennai, Tamil Nadu 600100, India"
437,32,Mettupalayam ,600033,13.032138908500556,80.22013316320106,"76, Govindan Rd, Moovendar, Panneerselvam Nagar, West Mambalam, Chennai, Tamil Nadu 600033, India"
4767,35B,Manikandan Nagar,600069,12.9870043,80.1149166,"23, Metro Star City 2nd Cross Rd, Manikandan Nagar, Kundrathur, Chennai, Tamil Nadu 600069, India"
6970,40A,Karukkupettai,631601,12.804617186859948,79.76678395013862,"NH 132B, Ayyampettai, Tamil Nadu 631601, India"
4906,35D,Anakaputhur sivan temple,600070,12.9827549,80.1285796,"7/C, Gopal Chetty St, Guruswamy Nagar, Anakaputhur, Chennai, Tamil Nadu 600070, India"
2265,19A,Kulam ,600045,12.9263626,80.1045279,"20, West, Chitlapakkam, Vaigai Nagar, Tambaram, Chennai, Tamil Nadu 600045, India"
7869,5A,Panchali Amman Kovil Arumbakkam,600106,13.076278292153212,80.20916205030417,"43/18, Amaravathi Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India"
3433,26c,Teynampet metro,600018,13.0373532,80.2466509,"Teynampet, MA Garden, Teynampet, Chennai, Tamil Nadu 600018, India"
1514,44,Sunguvarchatram bus stand ,602106,12.925457147153194,79.87965062025867,"Sunguvarchatram, Thirumangalam, Sunguvarchatram, Tamil Nadu 602106, India"
4290,5B,Maduravoyal Erikarai,600095,13.0615449,80.1646353,"Ground Floor, 241, Poonamallee High Rd, Maduravoyal, Chennai, Tamil Nadu 600095, India"
3098,9,Grace super market ,600037,13.078462237487855,80.18095163510745,"35HJ+994, Church Rd, Golden George Nagar, Mogappair East, Chennai, Tamil Nadu 600037, India"
6329,41,Walaja Bus Stand,632513,12.925954449267348,79.36614259188094,"W9G8+985, Walajapet, Tamil Nadu 632513, India"
323,13c,Kolathur grace super market,600049,13.11891265823426,80.2070096656067,"4694+GRW, 90, Main Rd, Srinivasa Nagar, Kolathur, Chennai, Tamil Nadu 600099, India"
4579,19A,Tambaram kulam,600045,12.9242547,80.10499709999999,"No 5, Thulasingam, Oil Mill St, Old, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045, India"
1123,15,Canara bank ,600053,13.112114037252637,80.15155179379032,"6/9, Varadharajapuram, Varadaraja Puram, Ambattur, Chennai, Tamil Nadu 600053, India"
2122,27C,"LIGHT HOUSE, MYLAPORE , CHENNAI -600 004",600004,13.038866039204695,80.27650499773858,"27, 1, Karaneeswarar Pagoda St, Karneeswarapuram, Mylapore, Chennai, Tamil Nadu 600004, India"
6645,18E, ORR,600055,13.159936,80.0702555,"67, Vishnu Nagar, Avadi, Morai, Tamil Nadu 600055, India"
1365,5A,Maduravoyal ,600095,13.062878590998467,80.17072997536908,"2, Valli St, Karthikeyan Nagar, Maduravoyal, Chennai, Tamil Nadu 600095, India"
