cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
3,13.04746924855114,80.13663359838046,13.039223333333334,80.132755,Highway_unknown,highway,,1008.58,8
17,12.96197070422018,80.2000283897107,12.9662483,80.1887883,Highway_unknown,highway,,1307.56,13
22,12.860031440428736,80.04106476422844,12.8420083,80.0575316,Highway_unknown,highway,,2683.87,5
36,13.025830986345737,80.0799272126047,13.028905,80.0903966,Highway_unknown,highway,,1184.57,2
43,12.883219857427486,80.16188098906234,12.903345,80.1584816,Highway_unknown,highway,,2267.95,2
66,13.208519861396038,79.7585809203351,13.2098329,79.8848342,Highway_unknown,highway,,13668.07,2
81,12.784923927516928,80.21870339189726,12.8870332,80.2367305,Highway_unknown,highway,,11521.02,2
92,12.988829521237234,79.6761165809449,13.0203175,79.677515,Highway_unknown,highway,,3504.58,3
99,13.024069556681884,80.25837604854132,13.006528333333334,80.25694333333334,Highway_unknown,highway,,1956.66,12
104,13.113307533130566,80.20908199729924,13.1038999,80.2060031,Highway_unknown,highway,,1097.94,11
106,13.117710482965498,80.2130676837107,13.1264162,80.2077198,Highway_unknown,highway,,1128.04,7
141,12.899698700000004,79.67544411430666,12.8745341,79.6776342,Highway_unknown,highway,,2808.23,4
164,13.0347823252069,80.27696585553339,13.0528433,80.2736216,Highway_unknown,highway,,2040.7,20
177,12.97578744672703,80.05229014200646,12.975225,80.0894883,Highway_unknown,highway,,4031.12,3
183,13.0315617,80.1251906,13.040435,80.12895666666667,Highway_unknown,highway,,1067.69,2
190,12.886868108108064,80.00875044794861,12.8927366,80.0704483,Highway_unknown,highway,,6719.37,4
194,12.883962767806963,80.13506886716556,12.90681,80.14255,Highway_unknown,highway,,2666.77,2
202,12.9498805591874,79.81688336803737,12.9069161,79.8293018,Highway_unknown,highway,,4963.38,2
205,12.8385052,80.1351312,12.8621816,80.0736816,Highway_unknown,highway,,7163.1,3
216,13.0874591857207,80.09848565071877,13.0880498,80.1085472,Highway_unknown,highway,,1091.71,4
223,13.23867995,80.2051898,13.2244467,80.1666164,Highway_unknown,highway,,4465.2,2
247,13.1380541,79.6614376,13.1286016,79.640745,Highway_unknown,highway,,2475.0,3
254,13.212013700836074,79.71282903658827,13.1855749,79.625195,Highway_unknown,highway,,9932.11,3
255,13.12897598638596,80.04178021922813,13.124556666666669,80.03167833333333,Highway_unknown,highway,,1199.23,12
261,13.00793316542941,79.67520917710598,13.0203175,79.677515,Highway_unknown,highway,,1399.55,3
272,13.034455279911542,80.25792007936204,13.0506933,80.2504883,Highway_unknown,highway,,1976.93,12
289,13.153186889207277,79.91370816350805,13.1402838,79.9070119,Highway_unknown,highway,,1607.56,4
304,13.1305392,79.76889925,13.0910325,79.8576259,Highway_unknown,highway,,10565.35,2
305,13.013575233335064,80.17331131856326,13.0234503,80.1791954,Highway_unknown,highway,,1269.68,9
319,13.10965970953172,80.07940359353005,13.1189835,80.0812149,Highway_unknown,highway,,1055.15,2
324,13.041767064294904,80.09838467370945,13.03809,80.0872533,Highway_unknown,highway,,1273.27,9
343,13.115077417770742,80.2830439524173,13.1145099,80.2924533,Highway_unknown,highway,,1020.93,35
344,13.120319537659618,80.27566851591888,13.1141033,80.2656583,Highway_unknown,highway,,1285.66,4
350,13.135190787042497,80.2792566572292,13.1306499,80.29616,Highway_unknown,highway,,1898.77,3
353,12.99976720826665,80.26634126511264,13.000976666666666,80.25642666666667,Highway_unknown,highway,,1082.58,15
357,13.025113139788916,80.05431728668982,13.037467,80.0494003,Highway_unknown,highway,,1473.34,4
371,13.0086519,79.84087869999999,13.0308949,79.8303983,Highway_unknown,highway,,2721.47,2
393,13.01867542555236,80.24190521269692,13.007,80.23916833333334,Highway_unknown,highway,,1331.68,10
397,12.885178107251424,80.11250490905724,12.89954,80.0913516,Highway_unknown,highway,,2794.18,2
398,13.163661811385,79.85882338419003,13.1404316,79.8779773,Highway_unknown,highway,,3312.64,2
402,13.080390721064576,80.14383060107734,13.0666633,80.1364083,Highway_unknown,highway,,1725.18,10
