cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,12.82317661333762,79.69073598260717,12.8189826,79.6938037,Highway_unknown,highway,,572.81,7
1,12.817736862143246,79.69287794229993,12.8178833,79.6928116,Highway_unknown,highway,,17.8,27
2,12.82226246345043,79.69776678760653,12.821695,79.6981533,Highway_unknown,highway,,75.75,12
4,13.081881332905771,80.21777865407098,13.0818498,80.2179145,Highway_unknown,highway,,15.13,5
5,13.126055756148126,79.91084662665578,13.1260416,79.91082,Highway_unknown,highway,,3.29,6
6,13.1262060362737,79.91859569595302,13.123883,79.9116802,Highway_unknown,highway,,792.18,7
7,13.123357690145973,79.91173210806242,13.1234335,79.9117946,Highway_unknown,highway,,10.81,38
8,12.92557092128693,80.10223400909292,12.925615,80.1021666,Highway_unknown,highway,,8.8,10
9,12.917826412688932,80.10796505595144,12.91778,80.1080449,Highway_unknown,highway,,10.08,4
10,13.07482351080274,79.66929096369229,13.0751066,79.67038,Highway_unknown,highway,,122.08,14
11,13.127590203489694,80.15374189771059,13.1274733,80.153905,Highway_unknown,highway,,21.93,19
12,13.135484887431792,80.15203142453842,13.1297283,80.15701,Highway_unknown,highway,,836.88,5
13,13.145215851329468,80.29730766427014,13.145165,80.2971566,Highway_unknown,highway,,17.31,6
14,13.151463522378014,80.29961917648403,13.1512383,80.2996316,Highway_unknown,highway,,25.08,14
15,12.964654968378593,80.19680118105725,12.9679916,80.1894266,Highway_unknown,highway,,881.04,24
16,12.969446832217868,80.1978620701517,12.9690066,80.1898749,Highway_unknown,highway,,866.86,4
19,12.925166898076212,79.88056312953303,12.9255998,79.879713,Highway_unknown,highway,,103.95,5
20,13.052583177038434,80.26987230592249,13.0533716,80.269865,Highway_unknown,highway,,87.67,12
21,13.052426482423437,80.27454112957025,13.0529183,80.2737266,Highway_unknown,highway,,103.81,16
23,13.034112372476828,80.20523677178619,13.034643333333332,80.20511666666667,Highway_unknown,highway,,60.46,13
24,13.035103924019827,80.20038346786217,13.0366066,80.2005416,Highway_unknown,highway,,167.97,13
25,13.319754069010145,80.18257640712582,13.3199703,80.1825904,Highway_unknown,highway,,24.09,9
26,13.112819497624375,80.23166147150762,13.1128668,80.2316474,Highway_unknown,highway,,5.48,16
27,13.11266796087732,80.23711250750029,13.11262,80.237185,Highway_unknown,highway,,9.49,13
28,13.090192238085857,80.18231688503526,13.0881834,80.1826286,Highway_unknown,highway,,225.91,18
29,13.088511881401072,80.18553849107947,13.0879497,80.1855659,Highway_unknown,highway,,62.58,16
30,13.094709031049604,80.18352774843011,13.09853,80.18215,Highway_unknown,highway,,450.31,6
31,12.945389218944674,80.14630712216567,12.9415233,80.1451949,Highway_unknown,highway,,446.45,10
32,13.333623075803631,79.89158254970053,13.3336162,79.8915624,Highway_unknown,highway,,2.31,13
33,13.100208059453053,80.10892557652001,13.1001583,80.108305,Highway_unknown,highway,,67.44,21
34,13.104604541602832,80.10536026903213,13.1041669,80.1083278,Highway_unknown,highway,,325.04,6
35,13.046331516092897,80.07971934754875,13.0469834,80.0795555,Highway_unknown,highway,,74.63,15
37,13.192016789747656,80.18666897098741,13.19129,80.1859549,Highway_unknown,highway,,111.84,12
38,13.138992896195145,80.20704721738822,13.1387329,80.2067661,Highway_unknown,highway,,41.98,20
39,13.13332521140331,80.20564550153813,13.1366169,80.2085494,Highway_unknown,highway,,482.54,17
40,13.136613725712564,80.20166004808756,13.1395328,80.2061271,Highway_unknown,highway,,582.52,4
41,12.990180563972435,80.25729950948318,12.990751666666666,80.25596666666667,Highway_unknown,highway,,157.76,6
44,12.793846769587306,79.81830777162992,12.7937829,79.8178625,Highway_unknown,highway,,48.8,8
46,13.105838236546054,80.2806064957233,13.1028383,80.2740233,Highway_unknown,highway,,787.13,12
47,13.101613990290064,80.27566755127637,13.1012583,80.2747266,Highway_unknown,highway,,109.31,9
48,13.169152298102222,80.095799969248,13.1666166,80.09835,Highway_unknown,highway,,394.62,11
49,13.046577390558658,80.16388042163855,13.038325,80.16496,Highway_unknown,highway,,925.05,10
50,13.125820617345203,80.02648770030501,13.1245,80.02580833333333,Highway_unknown,highway,,164.24,12
