route_id,route_name,depot,total_stops,total_students,efficiency_percentage,total_distance_km,estimated_time_min,route_type,direction,accessibility_status,warnings,export_timestamp
Bus 6,Bus 6,Main Depot,3,55,100.0%,29.59,71 min,advanced-angular,72°,Valid,,2025-10-14T20-38-29
Bus 85,Bus 85,Main Depot,6,55,100.0%,29.59,71 min,advanced-angular,103°,Valid,,2025-10-14T20-38-29
Bus 55,Bus 55,Main Depot,4,55,100.0%,24.29,58 min,advanced-angular,69°,Valid,,2025-10-14T20-38-29
Bus 101,Bus 101,Main Depot,5,55,100.0%,37.88,91 min,advanced-angular,52°,Valid,,2025-10-14T20-38-29
Bus 74,Bus 74,Main Depot,4,55,100.0%,30.28,73 min,advanced-angular,41°,Valid,,2025-10-14T20-38-29
Bus 14,Bus 14,Main Depot,4,55,100.0%,23.01,55 min,advanced-angular,82°,Valid,,2025-10-14T20-38-29
Bus 71,Bus 71,Main Depot,4,55,100.0%,10.31,25 min,advanced-angular,64°,Valid,,2025-10-14T20-38-29
Bus 1,Bus 1,Main Depot,4,55,100.0%,33.33,80 min,advanced-angular,73°,Valid,,2025-10-14T20-38-29
Bus 37,Bus 37,Main Depot,5,55,100.0%,39.36,94 min,advanced-angular,61°,Valid,,2025-10-14T20-38-29
Bus 20,Bus 20,Main Depot,3,55,100.0%,17.75,43 min,advanced-angular,81°,Valid,,2025-10-14T20-38-29
Bus 15,Bus 15,Main Depot,4,55,100.0%,22.71,54 min,advanced-angular,78°,Valid,,2025-10-14T20-38-29
Bus 57,Bus 57,Main Depot,4,55,100.0%,24.00,58 min,advanced-angular,71°,Valid,,2025-10-14T20-38-29
Bus 62,Bus 62,Main Depot,2,55,100.0%,20.99,50 min,advanced-angular,67°,Valid,,2025-10-14T20-38-29
Bus 118,Bus 118,Main Depot,7,55,100.0%,42.08,101 min,advanced-angular,29°,Valid,,2025-10-14T20-38-29
Bus 124,Bus 124,Main Depot,5,55,100.0%,27.94,67 min,advanced-angular,91°,Valid,,2025-10-14T20-38-29
Bus 94,Bus 94,Main Depot,3,55,100.0%,40.84,98 min,advanced-angular,238°,Valid,,2025-10-14T20-38-29
Bus 51,Bus 51,Main Depot,5,55,100.0%,27.46,66 min,advanced-angular,61°,Valid,,2025-10-14T20-38-29
Bus 7,Bus 7,Main Depot,3,55,100.0%,25.65,62 min,advanced-angular,75°,Valid,,2025-10-14T20-38-29
Bus 17,Bus 17,Main Depot,3,55,100.0%,21.93,53 min,advanced-angular,75°,Valid,,2025-10-14T20-38-29
Bus 111,Bus 111,Main Depot,2,55,100.0%,20.10,48 min,advanced-angular,51°,Valid,,2025-10-14T20-38-29
Bus 21,Bus 21,Main Depot,4,55,100.0%,17.25,41 min,advanced-angular,79°,Valid,,2025-10-14T20-38-29
Bus 31,Bus 31,Main Depot,6,55,100.0%,28.93,69 min,advanced-angular,113°,Valid,,2025-10-14T20-38-29
Bus 88,Bus 88,Main Depot,4,55,100.0%,23.47,56 min,advanced-angular,97°,Valid,,2025-10-14T20-38-29
Bus 103,Bus 103,Main Depot,5,55,100.0%,30.86,74 min,advanced-angular,55°,Valid,,2025-10-14T20-38-29
Bus 126,Bus 126,Main Depot,4,55,100.0%,24.83,60 min,advanced-angular,84°,Valid,,2025-10-14T20-38-29
Bus 141,Bus 141,Main Depot,4,55,100.0%,18.89,45 min,advanced-angular,122°,Valid,,2025-10-14T20-38-29
Bus 42,Bus 42,Main Depot,4,55,100.0%,31.99,77 min,advanced-angular,63°,Valid,,2025-10-14T20-38-29
Bus 49,Bus 49,Main Depot,3,55,100.0%,27.63,66 min,advanced-angular,62°,Valid,,2025-10-14T20-38-29
Bus 60,Bus 60,Main Depot,3,55,100.0%,22.18,53 min,advanced-angular,67°,Valid,,2025-10-14T20-38-29
Bus 73,Bus 73,Main Depot,5,55,100.0%,38.63,93 min,advanced-angular,283°,Valid,,2025-10-14T20-38-29
Bus 50,Bus 50,Main Depot,3,55,100.0%,27.24,65 min,advanced-angular,68°,Valid,,2025-10-14T20-38-29
Bus 38,Bus 38,Main Depot,4,55,100.0%,37.98,91 min,advanced-angular,64°,Valid,,2025-10-14T20-38-29
Bus 93,Bus 93,Main Depot,3,55,100.0%,39.81,96 min,advanced-angular,238°,Valid,,2025-10-14T20-38-29
Bus 58,Bus 58,Main Depot,2,55,100.0%,23.49,56 min,advanced-angular,60°,Valid,,2025-10-14T20-38-29
