route_id,route_name,stop_sequence,cluster_number,stop_name,original_lat,original_lon,snapped_lat,snapped_lon,students_pickup,distance_to_next_stop_km,cumulative_distance_km,cumulative_students,export_timestamp
Bus 6,Bus 6,1,223,Stop 223,13.088955,80.26382833333334,13.088955,80.26382833333334,24,0.881,0.881,24,2025-10-14T20-38-29
Bus 6,Bus 6,2,320,Stop 320,13.0864,80.256125,13.0864,80.256125,9,1.228,2.109,33,2025-10-14T20-38-29
Bus 6,Bus 6,3,0,Stop 0,13.084875,80.244895,13.084875,80.244895,22,0.000,2.109,55,2025-10-14T20-38-29
Bus 85,Bus 85,1,135,Stop 135,12.951543333333332,80.25504333333333,12.951543333333332,80.25504333333333,3,1.381,1.381,3,2025-10-14T20-38-29
Bus 85,Bus 85,2,528,Stop 528,12.9573333,80.2437686,12.9573333,80.2437686,6,3.058,4.439,9,2025-10-14T20-38-29
Bus 85,Bus 85,3,18,Stop 18,12.9807866,80.2290316,12.9807866,80.2290316,13,0.738,5.177,22,2025-10-14T20-38-29
Bus 85,Bus 85,4,555,Stop 555,12.9771733,80.2233166,12.9771733,80.2233166,9,0.389,5.566,31,2025-10-14T20-38-29
Bus 85,Bus 85,5,556,Stop 556,12.9764676,80.2198028,12.9764676,80.2198028,20,8.093,13.659,51,2025-10-14T20-38-29
Bus 85,Bus 85,6,366,Stop 366,12.970886666666669,80.14533333333334,12.970886666666669,80.14533333333334,4,0.000,13.659,55,2025-10-14T20-38-29
Bus 55,Bus 55,1,21,Stop 21,13.0849003,80.2096652,13.0849003,80.2096652,30,1.167,1.167,30,2025-10-14T20-38-29
Bus 55,Bus 55,2,478,Stop 478,13.0764249,80.2033133,13.0764249,80.2033133,14,2.008,3.175,44,2025-10-14T20-38-29
Bus 55,Bus 55,3,421,Stop 421,13.071296666666669,80.18553833333333,13.071296666666669,80.18553833333333,7,10.545,13.720,51,2025-10-14T20-38-29
Bus 55,Bus 55,4,396,Stop 396,13.052791666666666,80.09005666666667,13.052791666666666,80.09005666666667,4,0.000,13.720,55,2025-10-14T20-38-29
Bus 101,Bus 101,1,25,Stop 25,13.2114183,80.2714483,13.2114183,80.2714483,8,5.650,5.650,8,2025-10-14T20-38-29
Bus 101,Bus 101,2,246,Stop 246,13.1668496,80.2463817,13.1668496,80.2463817,17,2.218,7.868,25,2025-10-14T20-38-29
Bus 101,Bus 101,3,444,Stop 444,13.1476783,80.24072,13.1476783,80.24072,16,3.453,11.321,41,2025-10-14T20-38-29
Bus 101,Bus 101,4,124,Stop 124,13.12921,80.215085,13.12921,80.215085,7,1.619,12.941,48,2025-10-14T20-38-29
Bus 101,Bus 101,5,41,Stop 41,13.123813333333333,80.20119666666666,13.123813333333333,80.20119666666666,7,0.000,12.941,55,2025-10-14T20-38-29
Bus 74,Bus 74,1,26,Stop 26,13.2038402,80.175476,13.2038402,80.175476,10,2.315,2.315,10,2025-10-14T20-38-29
Bus 74,Bus 74,2,341,Stop 341,13.1961917,80.1555919,13.1961917,80.1555919,7,7.669,9.983,17,2025-10-14T20-38-29
Bus 74,Bus 74,3,560,Stop 560,13.129135,80.1390383,13.129135,80.1390383,16,1.585,11.569,33,2025-10-14T20-38-29
Bus 74,Bus 74,4,298,Stop 298,13.1291353,80.1243972,13.1291353,80.1243972,22,0.000,11.569,55,2025-10-14T20-38-29
Bus 14,Bus 14,1,28,Stop 28,13.036881666666666,80.21234833333334,13.036881666666666,80.21234833333334,15,0.865,0.865,15,2025-10-14T20-38-29
Bus 14,Bus 14,2,292,Stop 292,13.034803333333333,80.20465,13.034803333333333,80.20465,12,1.229,2.094,27,2025-10-14T20-38-29
Bus 14,Bus 14,3,113,Stop 113,13.0376083,80.19368,13.0376083,80.19368,18,2.673,4.767,45,2025-10-14T20-38-29
Bus 14,Bus 14,4,454,Stop 454,13.038946666666666,80.169045,13.038946666666666,80.169045,10,0.000,4.767,55,2025-10-14T20-38-29
Bus 71,Bus 71,1,395,Stop 395,13.0489838,80.0879859,13.0489838,80.0879859,27,0.977,0.977,27,2025-10-14T20-38-29
Bus 71,Bus 71,2,30,Stop 30,13.0469334,80.0792121,13.0469334,80.0792121,18,2.761,3.739,45,2025-10-14T20-38-29
Bus 71,Bus 71,3,118,Stop 118,13.0399167,80.0547599,13.0399167,80.0547599,6,3.882,7.620,51,2025-10-14T20-38-29
Bus 71,Bus 71,4,485,Stop 485,13.0240566,80.0228416,13.0240566,80.0228416,4,0.000,7.620,55,2025-10-14T20-38-29
Bus 1,Bus 1,1,221,Stop 221,13.0960016,80.2928249,13.0960016,80.2928249,19,2.257,2.257,19,2025-10-14T20-38-29
Bus 1,Bus 1,2,36,Stop 36,13.083945,80.2760616,13.083945,80.2760616,4,1.224,3.481,23,2025-10-14T20-38-29
Bus 1,Bus 1,3,575,Stop 575,13.0756516,80.26863,13.0756516,80.26863,19,1.685,5.166,42,2025-10-14T20-38-29
Bus 1,Bus 1,4,378,Stop 378,13.0787833,80.2534116,13.0787833,80.2534116,13,0.000,5.166,55,2025-10-14T20-38-29
Bus 37,Bus 37,1,578,Stop 578,13.1709116,80.30508,13.1709116,80.30508,17,0.796,0.796,17,2025-10-14T20-38-29
