cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
2,13.0407166,80.0248477,13.0296158,80.0318145,Highway_unknown,highway,,1446.79,2
33,13.027952560449966,80.12190727497291,13.0284333,80.1112933,Highway_unknown,highway,,1151.08,2
42,13.0086519,79.84087869999999,13.0308949,79.8303983,Highway_unknown,highway,,2721.47,2
64,12.98831178353828,79.68053926182081,13.0197167,79.6842336,Highway_unknown,highway,,3514.93,4
65,13.11268635,79.98408309999999,13.0979583,79.9830283,Highway_unknown,highway,,1641.66,2
74,12.891856761946464,80.16912419475312,12.90335,80.1585116,Highway_unknown,highway,,1719.43,3
101,13.174181608743586,80.01938225258509,13.1517338,80.0555896,Highway_unknown,highway,,4647.49,5
131,12.837636002952069,79.71890349332885,12.8378665,79.7068881,Highway_unknown,highway,,1302.91,8
141,13.1518166,79.82277074999999,13.135147,79.8739385,Highway_unknown,highway,,5842.38,2
144,12.899698700000004,79.67544411430666,12.8745341,79.6776342,Highway_unknown,highway,,2808.23,4
152,13.035915099096597,80.27750110552391,13.0528433,80.2736216,Highway_unknown,highway,,1928.67,14
166,13.12078687382521,80.27851029422413,13.1140816,80.2656716,Highway_unknown,highway,,1577.65,5
168,12.99884598816072,80.26737478461946,13.000976666666666,80.25642666666667,Highway_unknown,highway,,1209.6,11
170,12.84681723516747,80.14440522576237,12.9043883,80.1502816,Highway_unknown,highway,,6433.22,2
182,13.053893226396289,80.17471250260473,13.0642163,80.1712989,Highway_unknown,highway,,1205.96,12
207,12.961325168404064,80.19951639962065,12.9655049,80.1884783,Highway_unknown,highway,,1283.22,10
239,13.024596841540363,80.2590619847496,13.006528333333334,80.25694333333334,Highway_unknown,highway,,2022.2,15
241,12.889464104139144,80.14058647194103,12.9067766,80.1427066,Highway_unknown,highway,,1938.73,15
245,13.045985502750677,80.10184793086117,13.046383333333331,80.11177666666667,Highway_unknown,highway,,1076.44,9
247,13.1307263,79.7624177,13.0910325,79.8576259,Highway_unknown,highway,,11215.7,2
265,13.13621713223903,80.28511111321114,13.133005,80.296825,Highway_unknown,highway,,1317.78,6
266,12.908746742291116,80.18391516202175,12.9177466,80.1890433,Highway_unknown,highway,,1144.72,2
269,12.962462830578325,80.17656399836868,12.9610733,80.1872033,Highway_unknown,highway,,1163.2,9
280,12.784923927516928,80.21870339189726,12.8870332,80.2367305,Highway_unknown,highway,,11521.02,4
281,13.093098760705107,80.07822227743902,13.0825161,80.0636386,Highway_unknown,highway,,1969.66,2
293,13.025121265478075,80.05431877932139,13.037467,80.0494003,Highway_unknown,highway,,1472.56,4
294,13.163661811385,79.85882338419003,13.1404316,79.8779773,Highway_unknown,highway,,3312.64,2
314,13.033995385055128,80.2574879981771,13.0506933,80.2504883,Highway_unknown,highway,,2005.58,11
317,12.833696066666668,80.1691956,12.903345,80.1584816,Highway_unknown,highway,,7831.21,2
323,13.1380541,79.6614376,13.1286016,79.640745,Highway_unknown,highway,,2475.0,3
328,12.877404992285785,80.11110154125966,12.8876033,80.0836366,Highway_unknown,highway,,3185.75,2
329,12.875979412483638,80.20224806089092,12.8966164,80.2276325,Highway_unknown,highway,,3582.83,2
332,13.121481463377684,79.93214686478281,13.1339166,79.9338383,Highway_unknown,highway,,1394.8,4
336,12.860781734653202,80.04350859791009,12.8444051,80.0600719,Highway_unknown,highway,,2557.39,2
360,13.128273566611629,80.04158876189722,13.124556666666669,80.03167833333333,Highway_unknown,highway,,1150.03,11
400,13.039391820508486,80.24814839611653,13.0506633,80.2503466,Highway_unknown,highway,,1275.75,13
406,13.019144967325872,80.24194505430737,13.007,80.23916833333334,Highway_unknown,highway,,1383.56,12
410,13.140422702198396,80.13615808701071,13.13077,80.1349583,Highway_unknown,highway,,1081.17,14
434,13.016507492559494,80.16941309271984,13.0253159,80.175724,Highway_unknown,highway,,1194.47,11
438,13.040459699714196,80.26959497573469,13.0529816,80.2726116,Highway_unknown,highway,,1430.2,20
439,12.863039176835068,80.1717802328816,12.90335,80.1585116,Highway_unknown,highway,,4707.46,3
447,13.106943010525516,80.09693324605999,13.1168985,80.0986671,Highway_unknown,highway,,1122.81,17
448,13.116792947330136,80.21191505191433,13.1260502,80.2070999,Highway_unknown,highway,,1153.9,20
457,13.07938050726208,80.14529515215791,13.0653834,80.1496791,Highway_unknown,highway,,1627.23,8
462,12.88742664155802,80.02360327390706,12.8927366,80.0704483,Highway_unknown,highway,,5111.88,16
463,12.983273108932764,80.14307055274779,12.972975,80.138095,Highway_unknown,highway,,1265.66,8
465,12.985857468840798,79.85160537565923,13.0255341,79.8726797,Highway_unknown,highway,,4967.65,2
481,13.152466091415398,79.91511298928437,13.1402838,79.9070119,Highway_unknown,highway,,1613.83,3
487,13.130078728545763,80.26917529616435,13.1296366,80.2589433,Highway_unknown,highway,,1109.09,2
490,12.978652584559429,80.0540680812161,12.9795733,80.0894766,Highway_unknown,highway,,3838.02,3
561,13.027254328203064,80.27179906898964,13.006485,80.25728333333333,Highway_unknown,highway,,2794.03,16
564,13.0611622,80.0199562,13.071916666666668,80.03241666666666,Highway_unknown,highway,,1803.23,2
572,13.025830986345737,80.0799272126047,13.028905,80.0903966,Highway_unknown,highway,,1184.57,2
584,13.095386339779392,79.68172086227118,13.0849733,79.6659933,Highway_unknown,highway,,2059.66,2
