cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.08562864874446,80.24448834530527,13.084875,80.244895,Highway_unknown,highway,,94.67,16
1,13.084765854676442,80.25014513109575,13.084513333333334,80.25022833333334,Highway_unknown,highway,,29.49,3
3,12.844714772338952,79.70024391603759,12.8440165,79.699769,Highway_unknown,highway,,93.16,10
4,12.844475435656593,79.69683044223987,12.8447664,79.6969509,Highway_unknown,highway,,34.89,13
5,12.937212622756848,80.14612349387458,12.9410116,80.1472716,Highway_unknown,highway,,440.37,9
6,12.93973436175006,80.15121313426313,12.9402683,80.150795,Highway_unknown,highway,,74.69,23
7,13.061561065280824,80.14691256306392,13.06185,80.1468181,Highway_unknown,highway,,33.72,5
8,13.061538368769936,80.15268552324261,13.0611157,80.1526641,Highway_unknown,highway,,47.06,13
9,13.093137033709407,79.65973230337325,13.0930516,79.659435,Highway_unknown,highway,,33.57,32
10,13.09867780808302,79.65524680131699,13.0991828,79.6554183,Highway_unknown,highway,,59.14,17
12,13.130696573678614,80.1316489273865,13.1307339,80.1316547,Highway_unknown,highway,,4.2,41
15,13.123644027919914,79.91146337285997,13.1237733,79.9113133,Highway_unknown,highway,,21.7,40
16,13.12643656046641,79.91784894256408,13.123883,79.9116802,Highway_unknown,highway,,725.86,6
17,13.12136524425087,79.91789536807288,13.1226016,79.9118883,Highway_unknown,highway,,664.88,3
18,12.980743563749575,80.2290281668474,12.9807866,80.2290316,Highway_unknown,highway,,4.8,12
19,12.984573534435112,80.22286715158843,12.9842996,80.2227878,Highway_unknown,highway,,31.65,15
20,13.084411662876423,80.2038748900361,13.085134,80.2041435,Highway_unknown,highway,,85.43,12
21,13.084933126234525,80.20966716002349,13.0849003,80.2096652,Highway_unknown,highway,,3.66,30
22,13.0855985980953,80.21450717686427,13.084867,80.2143478,Highway_unknown,highway,,83.16,3
23,12.964827183246555,79.94684999746458,12.9649829,79.945383,Highway_unknown,highway,,159.9,2
24,12.895879117293717,80.07005753206835,12.895895,80.0703516,Highway_unknown,highway,,31.92,2
25,13.211242444323124,80.2717986866048,13.2114183,80.2714483,Highway_unknown,highway,,42.67,7
26,13.200253424858223,80.17418115601117,13.2038402,80.175476,Highway_unknown,highway,,422.75,3
27,13.031240273189445,80.21576108610199,13.031268333333331,80.21573166666667,Highway_unknown,highway,,4.46,12
28,13.036784795308744,80.2162829372938,13.036881666666666,80.21234833333334,Highway_unknown,highway,,426.37,15
29,13.119762201876762,80.06492298595569,13.1208157,80.0652885,Highway_unknown,highway,,123.65,14
30,13.04613561168966,80.07925960298103,13.0469334,80.0792121,Highway_unknown,highway,,88.86,13
31,13.146464228954606,80.24083351810242,13.1465327,80.2402687,Highway_unknown,highway,,61.63,15
32,13.140744945295854,80.23561663428015,13.14154,80.23717,Highway_unknown,highway,,190.02,5
34,12.691013697215062,79.98063202939878,12.6910066,79.9807033,Highway_unknown,highway,,7.77,3
35,13.333607215414087,79.89139198498683,13.3336162,79.8915624,Highway_unknown,highway,,18.47,11
36,13.084173761196556,80.27787704780697,13.083945,80.2760616,Highway_unknown,highway,,198.27,2
37,12.793785871110336,79.81879509758694,12.7937829,79.8178625,Highway_unknown,highway,,101.13,9
39,13.124863137898457,80.20542401261257,13.12504,80.2051849,Highway_unknown,highway,,32.52,14
40,13.122745759208732,80.20198019423668,13.1231164,80.2017021,Highway_unknown,highway,,51.04,21
41,13.128283973425738,80.1993887688046,13.123813333333333,80.20119666666666,Highway_unknown,highway,,534.27,5
43,12.969679155943188,80.18452348029228,12.9709149,80.1846716,Highway_unknown,highway,,138.34,13
44,12.970172575242843,80.19072486753566,12.9690466,80.1898433,Highway_unknown,highway,,157.48,12
45,13.158466074482025,80.30185331324823,13.1583283,80.302,Highway_unknown,highway,,22.07,9
46,13.1641428973835,80.30054675957483,13.1639433,80.30339,Highway_unknown,highway,,308.65,18
47,13.033581029323624,80.15991697930095,13.034008333333333,80.16006833333333,Highway_unknown,highway,,50.26,11
48,13.032835916365316,80.16409990834681,13.032295,80.16363666666666,Highway_unknown,highway,,78.33,15
49,13.02784549524757,80.16955945429521,13.0285167,80.1700973,Highway_unknown,highway,,94.69,8
50,13.075254144515863,80.1771690807766,13.0780066,80.1773766,Highway_unknown,highway,,306.88,8
51,13.07826098449398,80.18054643635614,13.0783283,80.1804716,Highway_unknown,highway,,11.03,37
52,13.077078355560763,80.18564540699519,13.0810699,80.1845683,Highway_unknown,highway,,458.92,5
53,13.080686300144237,80.18034148797747,13.0805366,80.1803683,Highway_unknown,highway,,16.9,18
54,13.081121518723815,80.18377684887854,13.0810266,80.1837316,Highway_unknown,highway,,11.64,17
55,13.296174508111497,80.14995569955488,13.2958149,80.1480388,Highway_unknown,highway,,211.25,4
56,13.006180238044465,80.24646306087902,13.00648,80.24652333333333,Highway_unknown,highway,,33.97,5
57,13.10012990132535,80.1090272263335,13.1001583,80.108305,Highway_unknown,highway,,78.28,20
58,13.1042611,80.1037721,13.1041669,80.1083278,Highway_unknown,highway,,493.49,8
59,13.094174324553052,80.10758362865721,13.0942559,80.1083946,Highway_unknown,highway,,88.3,13
60,12.982750919400674,80.12776977810755,12.9831933,80.12781,Highway_unknown,highway,,49.38,23
61,12.980408029757072,80.12198509720199,12.981288333333334,80.12054666666667,Highway_unknown,highway,,184.05,4
62,12.916998068689342,80.10793786687701,12.917365,80.1077533,Highway_unknown,highway,,45.44,3
66,13.052695260646052,80.27399792929087,13.0529183,80.2737266,Highway_unknown,highway,,38.46,15
67,13.052293304294832,80.2694629191832,13.0533766,80.2695566,Highway_unknown,highway,,120.88,11
68,13.115483812229256,80.24613336665568,13.115585,80.2442449,Highway_unknown,highway,,204.82,5
