cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,num_students,route_name,route_type,snap_distance_meters,reason,reason_description,additional_info,dropped_at,distance_from_college_km
4,12.844475435656593,79.69683044223987,12.8447664,79.6969509,13,Highway_unknown,highway,34.89,UNASSIGNED,Not assigned to any route,"{""student_count"":13,""distance_km"":37.90727788634505,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.368Z,37.90727788634505
17,13.12136524425087,79.91789536807288,13.1226016,79.9118883,3,Highway_unknown,highway,664.88,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":16.077193684915212,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,16.077193684915212
29,13.119762201876762,80.06492298595569,13.1208157,80.0652885,14,Highway_unknown,highway,123.65,UNASSIGNED,Not assigned to any route,"{""student_count"":14,""distance_km"":14.131412225850124,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,14.131412225850124
30,13.04613561168966,80.07925960298103,13.0469334,80.0792121,13,Highway_unknown,highway,88.86,UNASSIGNED,Not assigned to any route,"{""student_count"":13,""distance_km"":9.226592930556578,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,9.226592930556578
34,12.691013697215062,79.98063202939878,12.6910066,79.9807033,3,Highway_unknown,highway,7.77,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":35.4311179868472,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,35.4311179868472
35,13.333607215414087,79.89139198498683,13.3336162,79.8915624,11,Highway_unknown,highway,18.47,UNASSIGNED,Not assigned to any route,"{""student_count"":11,""distance_km"":38.09104936793824,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,38.09104936793824
62,12.916998068689342,80.10793786687701,12.917365,80.1077533,3,Highway_unknown,highway,45.44,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":15.200755249237831,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,15.200755249237831
77,13.079926715879322,79.90776674286467,13.079915,79.9088573,22,Highway_unknown,highway,118.13,UNASSIGNED,Not assigned to any route,"{""student_count"":22,""distance_km"":12.945833206415719,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,12.945833206415719
78,13.088903469711177,79.90923886897667,13.0918049,79.9077987,2,Highway_unknown,highway,358.35,UNASSIGNED,Not assigned to any route,"{""student_count"":2,""distance_km"":13.877751861091797,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,13.877751861091797
98,12.92363665659328,79.87871414939916,12.9248666,79.8782205,3,Highway_unknown,highway,146.86,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":16.481245220513802,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,16.481245220513802
105,13.170653977871556,80.09507168914664,13.1666166,80.09835,10,Highway_unknown,highway,572.3,UNASSIGNED,Not assigned to any route,"{""student_count"":10,""distance_km"":20.325801569680515,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,20.325801569680515
108,13.119264308652957,80.09523796314362,13.1193583,80.0951583,11,Highway_unknown,highway,13.55,UNASSIGNED,Not assigned to any route,"{""student_count"":11,""distance_km"":15.793680919772275,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,15.793680919772275
120,12.80452779774714,79.76662916153514,12.8046501,79.7664022,9,Highway_unknown,highway,28.12,UNASSIGNED,Not assigned to any route,"{""student_count"":9,""distance_km"":34.29615883696744,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,34.29615883696744
121,13.131051135242918,79.96537187936305,13.13045,79.964975,8,Highway_unknown,highway,79.47,UNASSIGNED,Not assigned to any route,"{""student_count"":8,""distance_km"":14.149729302990911,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,14.149729302990911
160,13.028533173028292,79.80263708559153,13.0292999,79.8023128,3,Highway_unknown,highway,92.21,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":21.917689493760438,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,21.917689493760438
163,13.099951333871257,79.86233769960702,13.0999076,79.8616266,2,Highway_unknown,highway,77.17,UNASSIGNED,Not assigned to any route,"{""student_count"":2,""distance_km"":18.405522382579,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-03T11:16:24.369Z,18.405522382579
