cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,num_students,route_name,route_type,snap_distance_meters,reason,reason_description,additional_info,dropped_at,distance_from_college_km
4,12.844475435656593,79.69683044223987,12.8447664,79.6969509,13,Highway_unknown,highway,34.89,UNASSIGNED,Not assigned to any route,"{""student_count"":13,""distance_km"":37.90727788634505,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,37.90727788634505
17,13.12136524425087,79.91789536807288,13.1226016,79.9118883,4,Highway_unknown,highway,664.88,UNASSIGNED,Not assigned to any route,"{""student_count"":4,""distance_km"":16.077193684915212,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,16.077193684915212
29,13.119762201876762,80.06492298595569,13.1208157,80.0652885,18,Highway_unknown,highway,123.65,UNASSIGNED,Not assigned to any route,"{""student_count"":18,""distance_km"":14.131412225850124,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,14.131412225850124
34,12.691013697215062,79.98063202939878,12.6910066,79.9807033,4,Highway_unknown,highway,7.77,UNASSIGNED,Not assigned to any route,"{""student_count"":4,""distance_km"":35.4311179868472,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,35.4311179868472
35,13.333607215414087,79.89139198498683,13.3336162,79.8915624,11,Highway_unknown,highway,18.47,UNASSIGNED,Not assigned to any route,"{""student_count"":11,""distance_km"":38.09104936793824,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,38.09104936793824
58,13.1042611,80.1037721,13.1041669,80.1083278,8,Highway_unknown,highway,493.49,UNASSIGNED,Not assigned to any route,"{""student_count"":8,""distance_km"":15.5287990392873,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,15.5287990392873
94,13.115503773592197,80.14371548188902,13.115559,80.147834,2,Highway_unknown,highway,446.05,UNASSIGNED,Not assigned to any route,"{""student_count"":2,""distance_km"":19.622642951397353,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,19.622642951397353
106,13.120714018160944,80.09328330233117,13.1193661,80.0933551,15,Highway_unknown,highway,150.08,UNASSIGNED,Not assigned to any route,"{""student_count"":15,""distance_km"":15.67236342450112,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,15.67236342450112
121,13.131051135242918,79.96537187936305,13.13045,79.964975,9,Highway_unknown,highway,79.47,UNASSIGNED,Not assigned to any route,"{""student_count"":9,""distance_km"":14.149729302990911,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,14.149729302990911
160,13.028533173028292,79.80263708559153,13.0292999,79.8023128,3,Highway_unknown,highway,92.21,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":21.917689493760438,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,21.917689493760438
163,13.099951333871257,79.86233769960702,13.0999076,79.8616266,3,Highway_unknown,highway,77.17,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":18.405522382579,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,18.405522382579
173,12.915920207921458,80.09396418609629,12.9214566,80.0923933,5,Highway_unknown,highway,638.73,UNASSIGNED,Not assigned to any route,"{""student_count"":5,""distance_km"":13.681618735794753,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.856Z,13.681618735794753
192,13.070638401148267,80.03304723607506,13.070803333333334,80.033465,7,Highway_unknown,highway,48.82,UNASSIGNED,Not assigned to any route,"{""student_count"":7,""distance_km"":7.611991897493081,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,7.611991897493081
194,12.817759002995745,79.73278679184773,12.818358333333334,79.73206833333333,19,Highway_unknown,highway,102.52,UNASSIGNED,Not assigned to any route,"{""student_count"":19,""distance_km"":36.25479753291642,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,36.25479753291642
200,12.958424546239453,80.12789007861996,12.9580683,80.1281066,17,Highway_unknown,highway,46.04,UNASSIGNED,Not assigned to any route,"{""student_count"":17,""distance_km"":14.632022733768942,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,14.632022733768942
209,13.01630541156933,80.0030909196266,13.015475,80.00335833333334,8,Highway_unknown,highway,96.78,UNASSIGNED,Not assigned to any route,"{""student_count"":8,""distance_km"":0.7349222072341256,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,0.7349222072341256
242,13.111531044214043,80.10933686953845,13.111484,80.1086521,32,Highway_unknown,highway,74.34,UNASSIGNED,Not assigned to any route,"{""student_count"":32,""distance_km"":16.1196789532965,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,16.1196789532965
274,12.810008842401407,80.02897106212144,12.8095516,80.0294433,6,Highway_unknown,highway,72.16,UNASSIGNED,Not assigned to any route,"{""student_count"":6,""distance_km"":22.34015941470096,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,22.34015941470096
282,12.932703716619486,79.90932245444068,12.9337334,79.9087667,5,Highway_unknown,highway,129.37,UNASSIGNED,Not assigned to any route,"{""student_count"":5,""distance_km"":13.238045089204732,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,13.238045089204732
287,13.016956599709092,79.6754404564449,13.0203175,79.677515,7,Highway_unknown,highway,436.09,UNASSIGNED,Not assigned to any route,"{""student_count"":7,""distance_km"":35.343374121924,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,35.343374121924
288,13.017709576611054,79.73014586087444,13.0162499,79.72973,5,Highway_unknown,highway,168.45,UNASSIGNED,Not assigned to any route,"{""student_count"":5,""distance_km"":29.6751336297688,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,29.6751336297688
290,12.91040816626398,80.09614826718015,12.9087566,80.0981066,9,Highway_unknown,highway,280.67,UNASSIGNED,Not assigned to any route,"{""student_count"":9,""distance_km"":15.130885127324767,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,15.130885127324767
316,12.872347224952522,79.69465252945697,12.8738331,79.6950006,3,Highway_unknown,highway,169.48,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":36.65263822540317,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,36.65263822540317
330,13.086694149213558,80.05472802462049,13.0891716,80.0570869,3,Highway_unknown,highway,375.71,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":10.648276029097484,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,10.648276029097484
333,12.739240898219787,79.99342576047026,12.7411916,79.9906983,4,Highway_unknown,highway,366.82,UNASSIGNED,Not assigned to any route,"{""student_count"":4,""distance_km"":29.796749197461466,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,29.796749197461466
356,12.824130793466583,79.70985917231681,12.824028333333333,79.71060833333334,14,Highway_unknown,highway,82.02,UNASSIGNED,Not assigned to any route,"{""student_count"":14,""distance_km"":37.81994689213271,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,37.81994689213271
372,12.942517153222031,80.13918951764212,12.9429533,80.1394816,18,Highway_unknown,highway,57.91,UNASSIGNED,Not assigned to any route,"{""student_count"":18,""distance_km"":16.453350480640108,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,16.453350480640108
375,13.008232171266013,80.00380429277354,13.0082383,80.0038783,20,Highway_unknown,highway,8.05,UNASSIGNED,Not assigned to any route,"{""student_count"":20,""distance_km"":0.07933252207253791,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,0.07933252207253791
393,13.110203848412624,79.95717846881752,13.10771,79.9569766,6,Highway_unknown,highway,278.16,UNASSIGNED,Not assigned to any route,"{""student_count"":6,""distance_km"":12.092510840198578,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,12.092510840198578
402,12.828232664441613,79.72316599236994,12.820523333333334,79.722525,10,Highway_unknown,highway,860.05,UNASSIGNED,Not assigned to any route,"{""student_count"":10,""distance_km"":36.962076856816466,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,36.962076856816466
403,12.85161671870311,79.94281762894866,12.8517031,79.94277,2,Highway_unknown,highway,10.91,UNASSIGNED,Not assigned to any route,"{""student_count"":2,""distance_km"":18.675499891021754,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,18.675499891021754
456,12.850658788249072,79.69193911062374,12.8506338,79.6933984,14,Highway_unknown,highway,158.23,UNASSIGNED,Not assigned to any route,"{""student_count"":14,""distance_km"":37.937898545808515,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,37.937898545808515
468,13.12552341973266,80.00724838704953,13.124896666666666,80.00456,15,Highway_unknown,highway,299.35,UNASSIGNED,Not assigned to any route,"{""student_count"":15,""distance_km"":12.902289052021844,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,12.902289052021844
471,13.057555225750498,79.91137853630089,13.0572032,79.9124431,3,Highway_unknown,highway,121.78,UNASSIGNED,Not assigned to any route,"{""student_count"":3,""distance_km"":11.236658251761678,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,11.236658251761678
472,13.010523880837464,80.1058840447647,13.0112833,80.1021283,7,Highway_unknown,highway,415.57,UNASSIGNED,Not assigned to any route,"{""student_count"":7,""distance_km"":10.685156627470864,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,10.685156627470864
492,13.136311930824723,80.10311806889837,13.136365,80.10314,15,Highway_unknown,highway,6.36,UNASSIGNED,Not assigned to any route,"{""student_count"":15,""distance_km"":17.81525600376842,""note"":""Could not be assigned to any route - likely optimization constraints""}",2025-10-14T20:36:35.857Z,17.81525600376842
