cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
0,13.071570308472474,80.22197228829029,13.0717383,80.2220733,Highway_unknown,highway,,21.65,11
1,12.804155247503177,79.76762914587353,12.8044009,79.7676706,Highway_unknown,highway,,27.68,6
2,12.927588313282603,80.10140839736397,12.9256866,80.10183,Highway_unknown,highway,,216.34,2
3,13.123909732726988,79.91230838617956,13.1237673,79.9116516,Highway_unknown,highway,,72.87,20
4,13.083030025491574,80.1722703899664,13.0832933,80.1722266,Highway_unknown,highway,,29.66,29
5,13.099749290553028,79.65528562809189,13.0997669,79.6551513,Highway_unknown,highway,,14.68,14
7,12.97808833487491,80.22157340688587,12.9774999,80.2212333,Highway_unknown,highway,,75.1,12
8,13.0998421486607,80.10863596610831,13.0998366,80.1083333,Highway_unknown,highway,,32.78,13
9,13.247458611386406,80.1585363841411,13.2472753,80.1574516,Highway_unknown,highway,,119.17,5
10,12.953470751323383,79.94130296572315,12.953881,79.9407339,Highway_unknown,highway,,76.71,13
11,12.68066895938541,79.98146134601649,12.6806449,79.9812459,Highway_unknown,highway,,23.52,4
12,12.835763384129551,79.69523807364418,12.8384995,79.6974468,Highway_unknown,highway,,387.18,9
13,13.144138777422455,80.1911011830153,13.1448116,80.1884099,Highway_unknown,highway,,300.87,7
14,12.939954161639784,80.14476504282437,12.941445,80.1449616,Highway_unknown,highway,,167.14,12
15,13.033152635842104,80.1383066728029,13.03409,80.136688,Highway_unknown,highway,,203.99,9
16,13.095552215796715,80.05760220243297,13.095721666666666,80.0577,Highway_unknown,highway,,21.62,3
17,12.896698297879189,79.45884656382026,12.9007233,79.4586083,Highway_unknown,highway,,448.3,3
18,13.173172309861457,80.30476408491458,13.1729816,80.30552,Highway_unknown,highway,,84.54,10
19,12.80740977761556,80.02766381358934,12.8072966,80.0280249,Highway_unknown,highway,,41.12,4
20,13.333323506769398,79.8904993139731,13.3328509,79.8907995,Highway_unknown,highway,,61.78,6
21,12.666148959787538,79.54024669576587,12.6659667,79.5401525,Highway_unknown,highway,,22.7,7
22,13.113475550026198,80.15413571323373,13.111306,80.151626,Highway_unknown,highway,,363.41,19
24,13.052189936467906,80.20122356255744,13.04758,80.2023566,Highway_unknown,highway,,527.09,21
26,13.113170444257984,80.23997343250929,13.1114383,80.2390033,Highway_unknown,highway,,219.4,12
27,13.1516177650499,80.06600760546672,13.152713333333333,80.06614,Highway_unknown,highway,,122.66,7
29,13.049284965343036,80.09068610811248,13.049799,80.090393,Highway_unknown,highway,,65.38,29
30,12.958341219220076,80.18507710946287,12.9583,80.1868833,Highway_unknown,highway,,195.78,13
31,13.040790826482356,80.17868332218333,13.0418837,80.1787185,Highway_unknown,highway,,121.58,19
32,13.182987696423886,79.61363108009107,13.1835416,79.6138016,Highway_unknown,highway,,64.3,6
33,12.967004321974088,80.14789295239433,12.9666083,80.148635,Highway_unknown,highway,,91.68,9
34,13.021037971782802,79.6768576588128,13.02118,79.6771916,Highway_unknown,highway,,39.47,2
35,13.102677010609066,80.2122888180716,13.101933,80.2116203,Highway_unknown,highway,,109.94,21
