cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
6,13.108106729332553,80.281895083165,13.103935,80.273555,Highway_unknown,highway,,1015.37,3
23,13.3451646,80.2878794,13.2811866,80.2595016,Highway_unknown,highway,,7748.45,4
25,12.890391099035444,80.16848553656571,12.9033483,80.1585616,Highway_unknown,highway,,1798.02,2
28,13.034705106564983,80.27710577950354,13.0528666,80.2736199,Highway_unknown,highway,,2054.47,10
40,13.02323296131069,80.053136067481,13.037349,80.049087,Highway_unknown,highway,,1629.77,3
41,13.208519861396034,79.7585809203351,13.2100832,79.8848199,Highway_unknown,highway,,13666.84,2
45,13.33845115167363,80.19140520585175,13.3207774,80.1829051,Highway_unknown,highway,,2169.79,3
52,13.108556581421665,79.42525307751924,12.9248783,79.370095,Highway_unknown,highway,,21280.33,4
63,12.888462596332465,80.0259750231183,12.8926116,80.0704483,Highway_unknown,highway,,4842.6,8
82,13.150526697441268,79.90936929312974,13.1406831,79.9057674,Highway_unknown,highway,,1161.97,2
96,13.028270853291716,80.25808444656349,13.048278,80.249511,Highway_unknown,highway,,2410.77,7
105,13.056555231126335,79.91096135481182,13.016684,79.9063634,Highway_unknown,highway,,4461.37,2
110,13.090072289869305,79.90939552932464,13.1108331,79.9105978,Highway_unknown,highway,,2312.17,4
125,13.176511354439343,80.02230991771056,13.151485,80.054953,Highway_unknown,highway,,4498.41,3
138,12.899698700000004,79.67613934288332,12.8744616,79.6767683,Highway_unknown,highway,,2807.07,3
153,13.1380541,79.6614376,13.1284283,79.6408516,Highway_unknown,highway,,2472.83,2
155,13.3425842,80.2209773,13.3207774,80.1829051,Highway_unknown,highway,,4780.03,3
163,13.163661811385,79.85882338419003,13.1406497,79.8785495,Highway_unknown,highway,,3333.12,2
176,12.80110455,80.07784805,12.8321866,80.0471666,Highway_unknown,highway,,4797.03,2
177,12.988829521237236,79.6761165809449,13.0202662,79.6778202,Highway_unknown,highway,,3500.47,3
183,13.222544425042743,80.32400878112377,13.1927083,80.31366,Highway_unknown,highway,,3501.67,2
188,13.09001314241151,79.57020673426109,13.106185,79.6472466,Highway_unknown,highway,,8535.15,2
211,13.04032942154342,80.2687200199109,13.0534383,80.269065,Highway_unknown,highway,,1458.12,12
212,12.90393995,80.22817645,12.914548333333334,80.24979,Highway_unknown,highway,,2622.8,2
225,12.839543717828374,79.71809286568998,12.8404998,79.7072315,Highway_unknown,highway,,1182.32,7
227,13.03941627459555,80.24695339656114,13.048278,80.249511,Highway_unknown,highway,,1023.59,8
237,12.85714339888853,80.0410936658362,12.8412266,80.0565316,Highway_unknown,highway,,2435.87,3
238,12.61538575474436,79.75946531559607,12.6381366,79.6529166,Highway_unknown,highway,,11834.68,5
252,12.862139365252606,80.1698117493224,12.846315,80.147834,Highway_unknown,highway,,2961.89,2
256,13.0770847781287,80.14754344403725,13.0663657,80.1496982,Highway_unknown,highway,,1214.54,5
258,13.170163536688325,79.60955599133081,13.1825116,79.61071,Highway_unknown,highway,,1378.71,2
259,13.080656723685554,79.9076797977743,13.1108331,79.9105978,Highway_unknown,highway,,3370.31,11
262,13.014442164596616,80.17237512154087,13.023991,80.178047,Highway_unknown,highway,,1226.77,4
264,13.140916836118508,80.03777006037318,13.13943,80.052977,Highway_unknown,highway,,1654.94,3
271,13.20417710941374,80.31604071218632,13.1927083,80.31366,Highway_unknown,highway,,1301.06,4
288,12.91676470971191,80.05870044025409,12.91594,80.072945,Highway_unknown,highway,,1546.57,2
292,13.0611622,80.0199562,13.072725,80.03185,Highway_unknown,highway,,1820.1,2
297,13.08698475572958,80.09692913026122,13.086803,80.108612,Highway_unknown,highway,,1265.5,2
298,13.019298833535045,80.24168950248036,13.0261492,80.2313709,Highway_unknown,highway,,1352.72,5
302,13.092517695135296,80.07274458996582,13.0839991,80.0623703,Highway_unknown,highway,,1469.6,2
318,13.117677262454826,79.94249741281017,13.1081998,79.9438858,Highway_unknown,highway,,1064.52,2
320,13.025309167663098,80.26713197559158,13.006478333333334,80.25741833333333,Highway_unknown,highway,,2343.47,10
326,12.9380604169517,80.16056735081126,12.9402383,80.1508166,Highway_unknown,highway,,1084.1,5
